,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,길,The Way,2016,한국,드라마,주연-상범역,76854600.0,17222.0,77274600.0,17432.0
1,연평해전,Northern Limit Line,2015,한국,드라마,조연-윤두호역,45563228330.0,6043784.0,45567290830.0,6044956.0
2,용의자,The Suspect,2013,한국,"액션,스릴러",단역-박건호 회장(해주그룹)역,30037161000.0,4131248.0,30037521000.0,4131338.0
3,타워,The Tower,2012,한국,드라마,조연-윤노인역,37654858000.0,5181014.0,37654858000.0,5181014.0
4,그대를 사랑합니다,Late Blossom,2010,한국,드라마,주연-장군봉역,12040035000.0,1645126.0,12051399000.0,1649407.0
5,그때 그 사람들,The President's Last Bang,2005,한국,"미스터리,코미디",조연-대통령 각하역,0.0,1083962.0,5777895500.0,890601.0
6,그녀를 믿지 마세요,Too Beautiful to Lie,2004,한국,코미디,조연,0.0,1204000.0,1859615500.0,298221.0
7,고독이 몸부림칠 때,Dance With Solitude,2003,한국,코미디,주연,0.0,34349.0,68938500.0,10745.0
8,용병이반,Ivan The Mercenary,1996,한국,"액션,드라마",주연,0.0,13591.0,,
9,사랑의 찬가,Love Song,1984,한국,"드라마,멜로/로맨스",주연,0.0,2963.0,,
10,내일은 야구왕,With Hope For Future Baseball King,1982,한국,"가족,드라마",주연,0.0,17728.0,,
11,열애,Ardent Love,1982,한국,"드라마,멜로/로맨스",주연,0.0,25541.0,,
12,세번은 짧게 세번은 길게,Three Times Each For Short And Long Ways,1981,한국,드라마,주연,0.0,60972.0,,
13,깃발없는 기수,No Glory,1980,한국,드라마,주연,,3628.0,109000.0,18.0
14,사랑의 조건,The Terms Of Love,1979,한국,"드라마,멜로/로맨스",주연,,148563.0,2660000.0,1325.0
15,아리랑아,Arirang-A,1977,한국,드라마,주연,,,582000.0,304.0
16,별명 붙은 운전사,A Driver With A Nickname,1976,한국,코미디,주연,,6314.0,,
17,사랑의 계절,Season Of Love,1976,한국,"드라마,멜로/로맨스",주연,,5649.0,,
18,별하나 나하나,Counting Stars In A Night Sky,1976,한국,"드라마,범죄",주연,,9220.0,,
19,젊은 도시,Young City,1976,한국,드라마,주연,,9550.0,,
20,여자들만 사는 거리,Manless Street,1976,한국,"드라마,멜로/로맨스",주연,,78921.0,550000.0,275.0
21,맨주먹의 소녀들,Girl'S From Scratch,1976,한국,드라마,주연,,,,
22,사랑을 빌려 드립니다,You Can Borrow My Love,1975,한국,멜로/로맨스,주연,,7267.0,,
23,창수의 전성시대,Chang-Su'S Heydays (Changsu-Ui Jeonseongsidae,1975,한국,멜로/로맨스,주연,,30171.0,,
24,영자의 전성시대,Yeong-Ja's Heydays,1975,한국,"드라마,멜로/로맨스",주연,,405097.0,2123000.0,1059.0
