,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,태평륜 완결편,The Crossing Final,2017,중국,"드라마,멜로/로맨스,전쟁,액션",주연,,,,
1,태평륜 피안,The Crossing 2,2015,중국,"드라마,액션,전쟁",주연,265000.0,53.0,751000.0,123.0
2,태평륜,The Crossing,2014,중국,"드라마,액션,전쟁",주연,730000.0,146.0,790000.0,166.0
3,두근두근 내 인생,My Brilliant Life,2014,한국,드라마,주연-미라역,12291081634.0,1624601.0,12291081634.0,1624601.0
4,일대종사,The Grandmaster,2012,중국,"액션,드라마",주연-장영성역,734730000.0,101592.0,734980000.0,101642.0
5,오늘,A Reason to Live (a.k.a. La Quotidienne),2011,한국,드라마,주연-다혜역,712814000.0,131896.0,713525000.0,131988.0
6,카멜리아,Camellia,2010,한국,드라마,주연,,,5000.0,1.0
7,페티쉬,Fetish,2007,"한국,미국",스릴러,주연-숙희역,6524946.0,886.0,6422500.0,872.0
8,황진이,Hwang Jin Yi,2007,한국,"드라마,멜로/로맨스",주연-황진이역,0.0,1270644.0,7764369000.0,1191810.0
9,파랑주의보,My Girl and I,2005,한국,드라마,주연,0.0,328538.0,1453890000.0,237284.0
10,수호천사,,2001,한국,드라마,주연,,,,
