,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,드론 컨트롤러,DRONE,2017,캐나다,스릴러,주연,,,,
1,킹스글레이브: 파이널 판타지 XV,Kingsglaive Final Fantasy XV,2016,일본,애니메이션,주연-레기스역(목소리),16319300.0,1960.0,16319300.0,1960.0
2,언럭키맨,Any Day,2015,미국,"액션,드라마,스릴러",주연,,,,
3,영메시아,The Young Messiah,2015,미국,드라마,조연-세베루스역,,,972000.0,108.0
4,주피터 어센딩,Jupiter Ascending,2014,미국,"SF,액션,어드벤처",주연,2685741879.0,309729.0,2687549879.0,309842.0
5,위키드 블러드,Wicked Blood,2014,미국,"액션,드라마",주연,40480000.0,5742.0,40480000.0,5742.0
6,클린스킨,Cleanskin,2012,영국,"범죄,드라마,스릴러",주연,1000000.0,200.0,1000000.0,200.0
7,사일런트 힐: 레버레이션,Silent Hill : Revelation 3D,2012,미국,"공포(호러),미스터리,스릴러",주연-해리 메이슨 / 크리스 드 실바역,,,,
8,솔저 오브 포춘,Soldiers Of Fortune,2012,미국,"액션,어드벤처",주연-디미도브 역역,,,,
9,에이지 오브 히어로즈,Age Of Heroes,2011,영국,"전쟁,액션",주연-잭 존스역,,,,
10,퍼시 잭슨과 번개 도둑,Percy Jackson & The Olympians: The Lightning Thief,2010,미국,"판타지,어드벤처",주연,13372357257.0,1877226.0,13158158500.0,1846180.0
11,데스레이스2,Death Race 2,2010,"남아프리카공화국,미국","액션,스릴러",주연-마커스 케인 역역,,,,
12,블랙 데스,Black Death,2010,"영국,독일","드라마,공포(호러),미스터리",주연,,,,
13,잃어버린 세계: 로스트 퓨쳐,The Lost Future,2010,"독일,남아프리카공화국,미국","어드벤처,SF",주연-아말 역역,,,,
14,힛쳐,The Hitcher,2007,미국,"액션,범죄,스릴러",주연-존 라이더역,0.0,25440.0,153080000.0,23025.0
15,북극,Far North,2007,"영국,프랑스","범죄,드라마,멜로/로맨스,스릴러",주연,,,,
16,아웃로,Outlaw,2007,영국,"액션,범죄",주연,,,,
17,다크,The Dark,2005,"영국,독일","공포(호러),미스터리",주연,,,,
18,반지의 제왕 : 왕의 귀환 (확장판),The Lord of the Rings: The Return of the King,2003,"뉴질랜드,미국","판타지,어드벤처,액션",조연-보로미르 역역,370268000.0,30349.0,370268000.0,30349.0
19,반지의 제왕 : 두개의 탑 (확장판),The Lord Of The Rings : The Two Towers,2002,"뉴질랜드,미국","판타지,어드벤처,액션",조연-보로미르 역역,350183800.0,27440.0,350183800.0,27440.0
20,반지의 제왕 : 반지원정대 (확장판),The Lord Of The Rings : The Fellowship Of The Rings,2001,"뉴질랜드,미국","판타지,어드벤처,액션",조연-보로미르 역역,470027900.0,35758.0,470027900.0,35758.0
21,더 갱스터,Essex Boys,2000,영국,"액션,스릴러,범죄",주연-제이슨역,0.0,1956.0,,
22,브라보 투 제로,Bravo Two Zero,1999,"남아프리카공화국,영국","전쟁,어드벤처,스릴러",주연,,,,
23,안나 까레니나,Anna Karenina,1997,미국,"드라마,멜로/로맨스",주연,,,2732000.0,1366.0
24,안나까레리나,Anna Karenina,1996,네덜란드,멜로/로맨스,주연,0.0,115785.0,,
25,레이디 챠타레이,Lady Chatterley,1995,영국,"멜로/로맨스,드라마",주연,0.0,448.0,,
26,007 골든 아이,Golden Eye,1995,"영국,미국",액션,주연,0.0,355498.0,,
27,블랙 뷰티,Black Beauty,1994,"미국,영국","드라마,가족,어드벤처",주연-그레이역,,,,
28,레이디 차탈리,Lady Chatterley,1992,영국,"드라마,멜로/로맨스",주연,,,,
