,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,밤쉘,Bombshell: The Hedy Lamarr Story,2017,미국,다큐멘터리,제작,83007830.0,10777.0,86536330.0,11226.0
1,스파키,Spark : A Space Tail,2016,한국,"애니메이션,어드벤처,코미디",주연,257040200.0,35436.0,257040200.0,35436.0
2,세상의 모든 엄마와 딸들,Mothers and Daughters,2016,미국,드라마,주연,8000.0,1.0,8000.0,1.0
3,어바웃 레이,About Ray,2015,미국,"코미디,드라마",주연,73962502.0,10052.0,73962502.0,10052.0
4,더 콜링,The Calling,2014,미국,스릴러,주연,,,,
5,빅 웨딩,The Big Wedding,2013,미국,"멜로/로맨스,코미디",주연-비비역,231885500.0,33993.0,233303500.0,34466.0
6,스니치,Snitch,2013,미국,액션,주연,288292500.0,41480.0,288292500.0,41480.0
7,컴퍼니 유 킵,The Company You Keep,2012,미국,스릴러,조연,13694000.0,2134.0,13925000.0,2173.0
8,시크릿,Arbitrage,2012,미국,"드라마,스릴러",주연,9339000.0,1330.0,9339000.0,1330.0
9,로봇 앤 프랭크,Robot and Frank,2012,미국,"코미디,드라마,SF",주연,69243000.0,10379.0,69243000.0,10379.0
10,클라우드 아틀라스,Cloud Atlas,2012,"미국,독일","SF,판타지",주연,3412002227.0,452755.0,3414930727.0,453116.0
11,댓츠 마이 보이,That's My Boy,2012,미국,코미디,주연-메리 역역,,,,
12,월 스트리트: 머니 네버 슬립스,Wall Street 2: Money Never Sleeps,2010,미국,"드라마,범죄,스릴러",주연-실비아 무어역,1788986817.0,245343.0,1760899000.0,241438.0
13,그레이티스트,The Greatest,2009,미국,"멜로/로맨스,드라마",주연-그레이스 브루어역,,,,
14,미스터 우드콕,Mr. Woodcock,2007,미국,"코미디,멜로/로맨스",주연,,,,
15,버나드 앤 도리스,Bernard and Doris,2007,"미국,영국","코미디,드라마",주연,,,,
16,이리지스터블,Irresistible,2006,호주,"드라마,스릴러",주연,,,,
17,엘리자베스타운,Elizabethtown,2005,미국,"코미디,드라마,멜로/로맨스",주연,0.0,97800.0,507710000.0,77588.0
18,로맨스 & 시가렛,Romance & Cigarettes,2005,미국,"코미디,뮤지컬,멜로/로맨스",주연,,,,
19,스위트 크리스마스,Noel,2004,미국,드라마,주연-로즈역,0.0,4128.0,22231500.0,3348.0
20,쉘 위 댄스,Shall We Dance?,2004,미국,드라마,주연,0.0,132856.0,549991000.0,82936.0
21,와일드 클럽,Banger Sisters,2002,미국,코미디,주연,0.0,3400.0,,
22,문라이트 마일,Moonlight Mile,2002,미국,"드라마,멜로/로맨스",주연,,,,
23,아티카의 유령들,Ghosts Of Attica,2001,미국,다큐멘터리,주연-내레이터 역(목소리),,,,
24,야! 러그래츠: 파리 대모험,Rugrats In Paris: The Movie,2000,미국,애니메이션,주연(목소리),,,,
25,이것이 바로 민주주의!,This Is What Democracy Looks Like,2000,미국,다큐멘터리,주연-나레이터 역(목소리),,,,
26,라버 앤 러버,Earthly Possessions,1999,미국,드라마,주연,0.0,793.0,,
27,여기보다 어딘가에,Anywhere But Here,1999,미국,드라마,주연,,,,
28,트와이라잇,Twilight,1998,미국,"미스터리,스릴러",주연,,,,
29,스텝맘,Stepmom,1997,미국,"드라마,코미디",주연,0.0,113706.0,119000.0,50.0
30,데드맨 워킹,Deadman Walking,1995,"영국,미국","드라마,범죄",주연,0.0,138080.0,0.0,0.0
31,작은 아씨들,Little Woman,1994,미국,드라마,주연,0.0,24799.0,366000.0,135.0
32,의뢰인,The Client,1994,미국,"드라마,미스터리,스릴러",주연,0.0,154885.0,,
33,로렌조 오일,Lorenzo's Oil,1993,미국,드라마,주연,0.0,5727.0,,
34,델마와 루이스,Thelma and Louise,1991,미국,드라마,주연-루이스역,0.0,119301.0,71247100.0,9185.0
35,깊은밤 깊은 곳에,The Other Side Of Midnight,1977,미국,드라마,주연,0.0,552908.0,2038000.0,931.0
36,록키 호러 픽쳐 쇼,The Rocky Horror Picture Show,1975,"미국,영국","공포(호러),뮤지컬,코미디",주연,0.0,31443.0,45833700.0,5853.0
37,그레이트 왈도 페퍼,The Great Waldo Pepper,1975,미국,드라마,주연-메리 베스 역역,,,60000.0,30.0
