,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,개들의 섬,Isle of Dogs,2018,미국,"코미디,애니메이션,다큐멘터리",주연(목소리),204327000.0,23709.0,288331100.0,33192.0
1,어벤져스: 인피니티 워,Avengers: Infinity War,2018,미국,"액션,어드벤처,판타지,SF",주연,99825741869.0,11202737.0,99918419769.0,11211798.0
2,공각기동대 : 고스트 인 더 쉘,Ghost In The Shell,2016,미국,"SF,범죄,액션",주연,6285970884.0,764072.0,6285970884.0,764072.0
3,씽,Sing,2016,미국,"애니메이션,뮤지컬",주연(목소리),13265525389.0,1730688.0,13266175589.0,1730773.0
4,"헤일, 시저!","Hail, Caesar!",2016,미국,"코미디,드라마",주연,271122300.0,34295.0,271444300.0,34331.0
5,정글북,The Jungle Book,2015,미국,"어드벤처,드라마",주연,21517513134.0,2537419.0,21517647134.0,2537438.0
6,캡틴 아메리카: 시빌 워,Captain America: Civil War,2015,미국,"액션,SF,스릴러",주연,72672111827.0,8677249.0,72675171827.0,8677555.0
7,어벤져스: 에이지 오브 울트론,The Avengers: Age of Ultron,2014,미국,"액션,어드벤처,판타지,SF",주연,88582586366.0,10494499.0,88582586366.0,10494499.0
8,아메리칸 셰프,Chef,2014,미국,코미디,주연,1255831929.0,153794.0,1262572429.0,154689.0
9,루시,LUCY,2014,"미국,프랑스",액션,주연,16468076039.0,1974893.0,16468076039.0,1974893.0
10,캡틴 아메리카: 윈터 솔져,Captain America: The Winter Soldier,2014,미국,"액션,어드벤처,SF",주연,31710585385.0,3963220.0,31711040385.0,3963251.0
11,언더 더 스킨,Under The Skin,2013,영국,"SF,드라마",주연,14167000.0,2750.0,23037600.0,3993.0
12,그녀,Her,2013,미국,"드라마,멜로/로맨스",주연,2861230000.0,351091.0,2895053541.0,355885.0
13,돈 존,Don Jon,2013,미국,"코미디,드라마,멜로/로맨스",주연,96323000.0,12044.0,96323000.0,12044.0
14,어벤져스,The Avengers,2012,미국,"액션,SF",주연-나타샤 로마노프/블랙 위도우역,59557853478.0,7074867.0,59558111478.0,7074891.0
15,히치콕,Hitchcock,2012,미국,스릴러,주연-자넷 리 역역,,,,
16,우리는 동물원을 샀다,We Bought a Zoo,2011,미국,"가족,코미디",주연-켈리 포스터역,1993190500.0,276334.0,1993190500.0,276334.0
17,아이언맨 2,Iron Man 2,2010,미국,"SF,액션,어드벤처",주연,33161943100.0,4498335.0,32635195500.0,4425003.0
18,내 남자의 아내도 좋아,Vicky Cristina Barcelona,2008,"스페인,미국","드라마,멜로/로맨스",주연-크리스티나역,454199063.0,67202.0,451244000.0,66884.0
19,천일의 스캔들,The Other Boleyn Girl,2008,미국,"사극,멜로/로맨스",주연-메리 볼린 역,4599546001.0,700095.0,4597058500.0,693836.0
20,스피릿,The Spirit,2008,미국,"액션,드라마",주연,,,,
21,내니 다이어리,The Nanny Diaries,2007,미국,"코미디,드라마",주연-애니 브래독역,0.0,477513.0,3121316500.0,477602.0
22,블랙 달리아,The Black Dahlia,2006,"독일,미국,프랑스","드라마,미스터리,범죄",주연-케이 레이크역,0.0,136451.0,831712000.0,123589.0
23,스쿠프,Scoop,2006,"미국,영국","코미디,드라마",주연,0.0,61993.0,393057052.0,61455.0
24,매치 포인트,Match Point,2005,"영국,미국","멜로/로맨스,드라마",주연-노라 라이스역,0.0,128958.0,879984048.0,132606.0
25,굿 우먼,A Good Woman,2004,"미국,스페인,룩셈부르크,영국",드라마,주연,0.0,345.0,2132500.0,345.0
26,러브 송 포 바비 롱,A Love Song For Bobby Long,2004,미국,드라마,주연,,,,
27,퍼펙트 스코어,The Perfect Score,2004,"미국,독일","범죄,코미디",주연,,,,
28,진주 귀걸이를 한 소녀,Girl With A Pearl Earring,2003,영국,"드라마,멜로/로맨스",주연,0.0,95000.0,419580100.0,60770.0
29,사랑도 통역이 되나요?,Lost In Translation,2003,미국,"멜로/로맨스,액션",주연,0.0,112127.0,222375000.0,33859.0
30,아메리칸 랩소디,An American Rhapsody,2001,"미국,헝가리",드라마,주연,,,,
31,판타스틱 소녀백서,Ghost World,2000,영국,코미디,주연,0.0,12331.0,1171500.0,182.0
32,베이브는 외출 중,My Brother The Pig,1999,미국,"코미디,가족",주연,,,,
