,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,엘리미네이터,Eliminators,2015,"영국,미국",액션,주연,4000.0,1.0,4000.0,1.0
1,닥터 스트레인지,Doctor Strange,2015,미국,"액션,어드벤처,판타지",조연,47482530396.0,5446379.0,47485590396.0,5446685.0
2,클로즈 레인지,Close Range,2015,미국,"액션,범죄",주연,5000.0,1.0,5000.0,1.0
3,스페셜포스: 특수부대 전랑,Wolf Warriors,2015,중국,"액션,전쟁",주연,,,,
4,헤라클레스 : 레전드 비긴즈,The legend of Hercules,2014,미국,"액션,판타지",조연,1662172151.0,221327.0,1662357151.0,221340.0
5,닌자2: 섀도우 어쌔신,NINJA 2,2013,미국,"액션,범죄",주연,4823000.0,1077.0,4823000.0,1077.0
6,아웃브레이크: 지구최후의날,Re-Kill,2013,미국,"SF,액션",주연,,,,
7,유니버셜 솔저4: 클론의 반란,Universal Soldier: Day of Reckoning,2012,미국,"액션,SF",주연,5903000.0,1552.0,5903000.0,1552.0
8,언디스퓨티드: 1대100의 혈투,El Gringo,2012,캐나다,액션,주연,3460000.0,1650.0,3460000.0,1650.0
9,장 클로드 반담의 암살게임,Assassination Games,2011,미국,"액션,스릴러",주연-롤랜드 플린트 역,,,,
10,닌자: 킬 사무라이,Ninja,2009,미국,"액션,범죄,드라마,스릴러",주연,,,,
11,쉐퍼드,The Shepherd,2008,미국,"액션,범죄,스릴러",주연,,,,
12,언디스퓨티드 2,Undisputed II: Last Man Standing,2006,미국,"액션,범죄",주연,,,,
