,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,에코 이펙트,Chain of Command,2015,미국,"액션,스릴러",주연,300000.0,60.0,300000.0,60.0
1,더 패키지: 일급비밀,The Package,2013,미국,"액션,스릴러",주연,3112000.0,1556.0,3112000.0,1556.0
2,맥시멈 컨빅션,Maximum Conviction,2012,미국,"액션,어드벤처,스릴러",주연,3165000.0,1500.0,3165000.0,1500.0
3,넉 아웃,Knockout,2011,"캐나다,미국",가족,주연-댄 바네스 역역,,,,
4,리코일,Recoil,2011,캐나다,액션,주연-라이언 베렛 역역,,,,
5,택티컬 포스,Tactical Force,2011,캐나다,"액션,SF,스릴러",주연-테이트 역역,,,,
6,익스펜더블,The Expendables,2010,미국,"스릴러,액션",주연,3025538174.0,398097.0,2973383000.0,390458.0
7,스트레인저,The Stranger,2010,"미국,캐나다",액션,주연-스트레인저 역 역,,,,
8,헌트 투 킬,Hunt to Kill,2010,캐나다,"액션,스릴러",주연-짐 로즈 역역,,,,
9,데미지,Damage,2009,"미국,캐나다",액션,주연,,,0.0,0.0
10,컨뎀드,The Condemned,2007,미국,"액션,스릴러",주연,,,,
