,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,춘몽,A Quiet Dream,2016,한국,드라마,단역,114343700.0,14423.0,115715700.0,14648.0
1,나의 사랑 나의 신부,"My Love, My Bride",2014,한국,"멜로/로맨스,코미디",주연,16636404305.0,2141155.0,16636404305.0,2141155.0
2,경주,Gyeong-ju,2014,한국,"드라마,코미디,멜로/로맨스","주연-공윤희역,공윤희역",473094500.0,63456.0,473561500.0,63520.0
3,더 엑스,The X,2013,한국,"액션,스릴러",주연-미아역,,,,
4,10억,A Million,2009,"한국,호주","스릴러,어드벤처",주연-조유진역,3142668973.0,438833.0,3107403000.0,433866.0
5,키친,The Naked Kitchen,2009,한국,멜로/로맨스,주연-안모래역,939320372.0,142336.0,931460100.0,141109.0
6,고고 70,Go Go 70s,2008,한국,드라마,주연,3795149333.0,581468.0,3865549500.0,595199.0
7,무림여대생,My Mighty Princess,2008,한국,"멜로/로맨스,액션,코미디",주연,176547500.0,28019.0,176330500.0,27714.0
8,"지금, 이대로가 좋아요",Sisters On The Road,2007,한국,드라마,주연-명은역,143001910.0,21212.0,146022000.0,21645.0
9,야수와 미녀,The Beast and the Beauty,2005,한국,코미디,주연,0.0,1561282.0,8378297000.0,1339833.0
10,새드무비,Sad Movie,2005,한국,드라마,주연,0.0,1066765.0,5628200500.0,902077.0
11,달콤한 인생,A Bittersweet Life,2004,한국,액션,주연-희수역,0.0,1271595.0,7235539100.0,1112950.0
12,마들렌,Madeleine,2002,한국,"드라마,멜로/로맨스",주연,0.0,365656.0,,
13,화산고,Volcano High,2001,한국,"액션,코미디,판타지",주연,0.0,586576.0,,
14,마야고,Mayago,1990,한국,멜로/로맨스,주연,0.0,2635.0,,
