,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,설계,,2014,한국,스릴러,주연,347188800.0,45638,347980800.0,45726.0
1,두 여자,"Love, in between",2010,한국,"멜로/로맨스,드라마",주연,981545863.0,131415,967522000.0,129576.0
2,6월의 일기,Bystanders,2005,한국,"드라마,범죄",주연,0.0,697980,3645962000.0,593867.0
3,미스터 주부퀴즈왕,Mr. Housewife,2005,한국,코미디,주연,0.0,413157,2106892000.0,337772.0
4,조폭마누라2-돌아온 전설,My Wife Is A Gangster 2,2003,한국,액션,주연,,1858077,36000.0,9.0
5,블루,Blue,2003,한국,드라마,주연,0.0,198500,,
6,좋은사람있으면 소개시켜줘,A Perfect Match,2002,한국,"멜로/로맨스,드라마,코미디",주연,,221105,,
7,이것이 법이다,Out Of Justice,2001,한국,스릴러,주연,0.0,78828,,
8,조폭마누라,My Wife Is a Gangster,2001,한국,코미디,주연,0.0,1419972,,
9,소용돌이,Spiral,2000,일본,"공포(호러),판타지",주연-마라야마 치에역,0.0,1761,,
10,종합병원(천일동안),General Hospital The Movie: A Thousand Days,2000,한국,드라마,주연-강은수역,0.0,8881,,
11,링,The Ring Virus,1999,한국,"공포(호러),미스터리,스릴러",주연-홍선주역,0.0,332354,,
12,건축무한 육면각체의 비밀,The Mystery of the Cube,1999,한국,"스릴러,드라마,SF",주연,0.0,177729,,
13,창(노는계집 창),Downfall,1997,한국,드라마,주연,0.0,411591,736000.0,368.0
14,젊은 남자,The Young Man,1994,한국,드라마,주연,0.0,72347,507000.0,95.0
15,비는 사랑을 타고,Love On A Rainy Day,1994,한국,"드라마,코미디",주연,0.0,976,,
16,인생이 뭐 객관식 시험인가요,Life Isn'T A Multiple Choice Test,1991,한국,드라마,주연,0.0,3242,,
17,자전거를 타고온 연인,The Lover On The Bicycle,1991,한국,"드라마,멜로/로맨스",주연,0.0,1085,,
18,사랑은 지금부터 시작이야,This Is The Beginning Of Love,1990,한국,드라마,주연,0.0,6029,,
