,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,더 타겟,Reach Me,2014,미국,드라마,주연,9000.0,1.0,9000.0,1.0
1,익스펜더블 3,The Expendables 3,2014,미국,"액션,어드벤처,스릴러",주연,1158358800.0,152025.0,1158398800.0,152033.0
2,이스케이프 플랜,Escape Plan,2013,미국,"액션,스릴러",주연-레이 브레스린역,2106946679.0,292893.0,2106938679.0,292892.0
3,그루지 매치,Grudge Match,2013,미국,코미디,주연-헨리역,,,,
4,익스펜더블 2,The Expendables II,2012,미국,"액션,어드벤처",주연,3208867228.0,444434.0,3209043228.0,444456.0
5,불릿 투 더 헤드,Bullet to the Head,2012,미국,"액션,범죄,스릴러",주연,,,,
6,익스펜더블,The Expendables,2010,미국,"스릴러,액션","감독,주연",3025538174.0,398097.0,2973383000.0,390458.0
7,람보 4 : 라스트 블러드,Rambo Ⅳ,2008,"미국,독일","액션,스릴러,전쟁","감독,주연-람보역",696504500.0,108473.0,699104500.0,107979.0
8,록키 발보아,Rocky Balboa,2006,미국,"드라마,액션","감독,주연",0.0,223666.0,1233424500.0,196971.0
9,쉐이드,Shade,2003,미국,"범죄,스릴러",주연,,,,
10,어벤징 안젤로,Avenging Angelo,2002,"미국,프랑스,스위스","액션,코미디,범죄",주연,,,,
11,실베스타스탤론의 디-톡스,D-TOX,2001,미국,"드라마,스릴러",주연,0.0,43415.0,,
12,드리븐,Champs,2001,미국,"드라마,액션",주연,0.0,163308.0,,
13,겟 카터,Get Carter,2000,미국,"액션,드라마,범죄",주연-잭 카터역,0.0,25872.0,199000.0,40.0
14,캅 랜드,Cop Land,1997,미국,"범죄,스릴러,액션",주연-프레디 헤플린 역,0.0,42672.0,,
15,데이라잇,Daylight,1996,미국,"액션,어드벤처,드라마,스릴러",주연,0.0,434099.0,177000.0,59.0
16,어쌔신,Assasins,1995,미국,액션,주연,0.0,137407.0,,
17,저지 드레드,Judge Dredd,1995,미국,SF,주연,0.0,314700.0,,
18,스페셜리스트,The Specialist,1994,미국,"드라마,스릴러,액션",주연,0.0,384981.0,123000.0,41.0
19,데몰리션 맨,Demolition Man,1993,미국,"SF,액션",주연,0.0,387460.0,,
20,클리프 행어,Cliff Hanger,1993,미국,"스릴러,액션,드라마",주연,0.0,1118583.0,299000.0,107.0
21,엄마는 해결사,Stop Or My Mon Will Shoot,1991,미국,"액션,코미디",주연,0.0,54002.0,,
22,오스카,Oscar,1991,미국,"코미디,범죄",주연-스냅스 (안젤로 프로볼론) 역,,,,
23,록키 5,Rocky Ⅴ,1990,미국,드라마,주연,0.0,26233.0,,
24,람보 3,Rambo 3,1988,미국,액션,시나리오(각본),0.0,213839.0,88000.0,34.0
25,람보 2,Rambo: First Blood Part Ⅱ,1985,미국,"액션,전쟁","주연,시나리오(각본)",0.0,639098.0,90000.0,33.0
26,람보,First Blood,1982,미국,액션,주연,0.0,282932.0,94000.0,36.0
27,록키 3,"Rocky Ⅲ, Eye Of The Tiger",1982,미국,드라마,"감독,주연,시나리오(각본)",0.0,215752.0,,
28,승리의 탈출,Escape To Victory,1981,미국,드라마,주연,0.0,68669.0,267000.0,89.0
29,록키 2,Rocky Ⅱ,1979,미국,드라마,"감독,주연",0.0,244234.0,,
30,투쟁의 날들,F.I.S.T,1978,미국,드라마,주연,,,,
31,록키,Rocky,1976,미국,"드라마,액션","주연,시나리오(각본)",,355608.0,39355900.0,5657.0
32,알카포네,Capone,1975,미국,"드라마,액션",주연,0.0,52985.0,,
