,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,맘마미아!2,MAMMA MIA! HERE WE GO AGAIN,2018,미국,뮤지컬,주연,,,10405495188.0,1218382.0
1,내가 죽기 전에 가장 듣고 싶은 말,The Last Word,2017,미국,코미디,주연,332742600.0,45347.0,332742600.0,45347.0
2,파더 앤 도터,Fathers and Daughters,2015,"미국,이탈리아",드라마,주연,465781100.0,61046.0,466831100.0,61196.0
3,팬,PAN,2015,미국,"판타지,어드벤처",주연-메리역,1425325592.0,186174.0,1425325592.0,186174.0
4,19곰 테드 2,Ted 2,2015,미국,코미디,주연,1378084400.0,170647.0,1378084400.0,170647.0
5,위아영,While We're Young,2014,미국,"코미디,드라마",주연,495343360.0,62016.0,495668860.0,62069.0
6,밀리언 웨이즈,A Million Ways to Die in the West,2014,미국,코미디,주연,135460300.0,17546.0,135460300.0,17546.0
7,에픽 : 숲속의 전설,Epic,2013,미국,"애니메이션,어드벤처",주연-MK 역(목소리),6748089000.0,978788.0,6748072000.0,978785.0
8,빅 웨딩,The Big Wedding,2013,미국,"멜로/로맨스,코미디",주연-미시역,231885500.0,33993.0,233303500.0,34466.0
9,개를 찾습니다,Dog Food,2013,미국,"드라마,공포(호러),스릴러",주연,,,,
10,러브레이스,Lovelace,2012,미국,드라마,주연-린다 러브레이스역,139215138.0,19933.0,139215138.0,19933.0
11,레미제라블,Les Miserables,2012,미국,드라마,주연,43044999000.0,5911890.0,43090556000.0,5920977.0
12,로스트,gone,2012,미국,"미스터리,스릴러",주연,,,,
13,인 타임,In Time,2011,미국,"SF,스릴러,액션",주연,4579554500.0,616943.0,4579554500.0,616943.0
14,레드 라이딩 후드,Red Riding Hood,2011,"미국,캐나다","드라마,판타지,멜로/로맨스",주연-발레리역,2728562500.0,362572.0,2728562500.0,362572.0
15,레터스 투 줄리엣,"Letters To Juliet,",2010,미국,"멜로/로맨스,코미디",주연-소피역,4343347481.0,593630.0,4273595500.0,583354.0
16,디어 존,Dear John,2010,미국,"드라마,멜로/로맨스,전쟁",주연-사바나 커티스역,1440264401.0,192530.0,1416569000.0,189142.0
17,클로이,Chloe,2010,프랑스,"드라마,스릴러",주연,989894071.0,129633.0,972575000.0,127082.0
18,부기우기: 상위 1%의 섹스,Boogie Woogie,2009,영국,"코미디,드라마",주연,6064000.0,1514.0,6064000.0,1514.0
19,죽여줘! 제니퍼,Jennifer's Body,2009,미국,"SF,공포(호러),스릴러",주연,,,,
20,맘마미아!,Mamma Mia!,2008,미국,"멜로/로맨스,뮤지컬",주연,29570784560.0,4554785.0,29688925850.0,4578239.0
