,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,무곡,Mukoku,2017,일본,드라마,주연,67000.0,31.0,67000.0,31.0
1,아인,Ajin,2017,일본,"SF,액션",주연,135549900.0,17287.0,135549900.0,17287.0
2,립반윙클의 신부: 스페셜 에디션,A Bride for Rip Van Winkle,2016,일본,"드라마,멜로/로맨스",주연,17925500.0,2084.0,18915500.0,2228.0
3,립반윙클의 신부,A Bride for Rip Van Winkle,2016,일본,"드라마,멜로/로맨스",주연,156603300.0,19412.0,156613300.0,19413.0
4,64 파트 1,Six Four: part 1,2016,일본,"미스터리,범죄,드라마",주연,,,,
5,64 파트 2,Six Four: part 2,2016,일본,"미스터리,범죄,드라마",주연,,,,
6,타락경찰 모로보시,Twisted Justice,2016,일본,"범죄,드라마",주연,,,,
7,천공의 벌,The Big Bee,2015,일본,스릴러,주연,1132000.0,222.0,1132000.0,222.0
8,피스 오브 케이크,piece of cake,2015,일본,멜로/로맨스,주연,5959500.0,723.0,5959500.0,723.0
9,그곳에서만 빛난다,The Light Shines Only There,2014,일본,"멜로/로맨스,드라마",주연,159000.0,41.0,159000.0,41.0
10,루팡 3세 무삭제판,Lupin The Third,2014,일본,"액션,범죄,어드벤처",주연,4000.0,1.0,4000.0,1.0
11,백설공주 살인사건,The Snow White Murder Case,2014,일본,미스터리,주연,16180500.0,2205.0,16670500.0,2254.0
12,새 구두를 사야해,I Have To Buy New Shoes,2013,일본,"멜로/로맨스,드라마",주연,92332000.0,12845.0,92919000.0,12934.0
