,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,이모티: 더 무비,The Emoji Movie,2017,미국,"애니메이션,어드벤처",주연-핵키 브레이크 목소리역(목소리),290079700.0,40372.0,290079700.0,40372.0
1,하늘에서 음식이 내린다면 2,Cloudy with a Chance of Meatballs 2,2013,미국,"애니메이션,코미디,가족",주연-샘 스파스역(목소리),5423213000.0,800062.0,5423213000.0,800062.0
2,저스트 어 이어,I Give It a Year,2012,영국,"코미디,멜로/로맨스",주연,43897500.0,6312.0,43897500.0,6312.0
3,독재자,The Dictator,2012,미국,코미디,주연,,,,
4,왓츠 유어 넘버,What's Your Number?,2011,미국,코미디,주연-앨리 달링역,,,,
5,테이크 미 홈 투나잇,Take Me Home Tonight,2011,미국,"코미디,드라마",주연-웬디 프랭클린 역역,,,,
6,요기 베어,Yogi Bear,2010,"미국,뉴질랜드","애니메이션,어드벤처,코미디",주연-레이첼 역(목소리),,,,
7,하늘에서 음식이 내린다면,Cloudy With A Chance Of Meatballs,2009,미국,"애니메이션,가족",주연-샘 스팍스 목소리 역(목소리),5500218152.0,665096.0,5417904500.0,655078.0
8,옵저브 앤 리포트,Observe and Report,2009,미국,코미디,주연,,,,
9,하우스 버니,The House Bunny,2008,미국,"코미디,멜로/로맨스",주연,,,,
10,스마일리 페이스,Smiley Face,2007,"미국,독일",코미디,주연,,,,
11,무서운 영화 4,Scary Movie 4,2006,미국,코미디,주연-신디 캠벨역,0.0,3250.0,12424000.0,2006.0
12,웨이팅...,Waiting...,2005,미국,코미디,주연,,,,
13,무서운 영화 3,Scary Movie 3,2003,미국,"공포(호러),코미디",주연,,,3499500.0,553.0
14,무서운 영화 2,Scary Movie 2,2001,미국,"공포(호러),코미디",주연-신디 캠벨역,0.0,45345.0,,
15,무서운 영화,Scary Movie,2000,미국,"코미디,공포(호러)",주연-신디 캠벨역,0.0,224626.0,,
