,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,토르: 라그나로크,THOR: RAGNAROK,2017,미국,"액션,어드벤처,판타지,SF",주연,39248432595.0,4857152.0,39251492595.0,4857458.0
1,트랜스포머: 최후의 기사,TRANSFORMERS: THE LAST KNIGHT,2016,미국,"액션,어드벤처,SF",주연,21501959228.0,2614601.0,21501959228.0,2614601.0
2,아우토반,Autobahn,2016,"영국,독일","액션,스릴러",주연,183681500.0,23338.0,196841500.0,24983.0
3,미스컨덕트,Misconduct,2015,미국,"범죄,스릴러",주연,1133511038.0,148512.0,1138175038.0,149095.0
4,미스터 하이네켄,Kidnapping Freddy Heineken,2015,"영국,네덜란드,벨기에","액션,스릴러",주연,29494300.0,3711.0,29494300.0,3711.0
5,노아,Noah,2013,미국,"어드벤처,드라마,판타지",주연,15514083500.0,2026574.0,15514373500.0,2026594.0
6,토르: 다크 월드,Thor: The Dark World,2013,미국,"액션,어드벤처,판타지",주연-오딘역,22525808500.0,3039889.0,22525808500.0,3039889.0
7,레드: 더 레전드,RED2,2012,미국,"액션,코미디,범죄",주연-베일리역,21511358970.0,3004647.0,21511371970.0,3004649.0
8,히치콕,Hitchcock,2012,미국,스릴러,주연-알프레드 히치콕 역역,,,,
9,토르: 천둥의 신,Thor,2011,미국,"액션,어드벤처,판타지",주연,15985407000.0,1694529.0,15985737000.0,1694562.0
10,더 라이트: 악마는 있다,The Rite,2011,미국,"미스터리,스릴러",주연-루카스 트레밴트역,422603000.0,55561.0,422603000.0,55561.0
11,360,360,2011,"영국,오스트리아 ,프랑스","드라마,멜로/로맨스",주연,,,,
12,환상의 그대,You Will Meet a Tall Dark Stranger,2010,미국,"멜로/로맨스,코미디",주연-알피역,198216500.0,24579.0,207940000.0,25968.0
13,울프맨,The Wolfman,2010,미국,"공포(호러),스릴러",주연,2099396881.0,270683.0,2062933500.0,265409.0
14,달콤한 악마의 유혹,Shortcut To Happiness,2009,미국,"코미디,드라마,판타지",주연,42000.0,6.0,42000.0,6.0
15,더 시티 오브 유어 파이널 데스티네이션,The City Of Your Final Destination,2009,미국,드라마,주연,,,,
16,슬립스트림,Slipstream,2007,미국,"코미디,드라마,판타지","감독,주연",,,,
17,프랙처,Fracture,2007,"미국,독일","범죄,미스터리",주연,,,,
18,바비,Bobby,2006,미국,드라마,주연-존역,22454545.0,2867.0,22102000.0,2821.0
19,세상에서 가장 빠른 인디언,The World's Fastest Indian,2005,"뉴질랜드,미국","어드벤처,드라마",주연,,,,
20,프루프,Proof,2005,미국,드라마,주연,,,,
21,알렉산더,Alexander,2004,미국,"전쟁,드라마",조연,0.0,1671576.0,8352610789.0,1310651.0
22,휴먼 스테인,The Human Stain,2003,미국,드라마,주연,0.0,29346.0,117363500.0,18141.0
23,배드컴패니,Bad Company,2002,미국,드라마,주연,0.0,54473.0,,
24,하트 인 아틀란티스,Hearts In Atlantis,2001,미국,드라마,주연,0.0,10000.0,,
25,한니발,Hannibal,2001,미국,"공포(호러),범죄",주연,0.0,282997.0,,
26,인스팅트,Instinct,1999,미국,"드라마,스릴러,범죄",주연,0.0,43253.0,,
27,지그프리드 앤 로이,Siegfried & Roy: The Magic Box,1999,미국,다큐멘터리,주연(목소리),,,,
28,타이투스,Titus,1999,미국,"드라마,전쟁",주연,,,104000.0,52.0
29,조블랙의 사랑,Meet Joe Black,1998,미국,"드라마,멜로/로맨스,판타지",주연,0.0,155138.0,,
30,디 엣지,The Edge,1997,미국,"드라마,스릴러,액션,어드벤처",주연,0.0,8792.0,,
31,닉슨,Nixon,1995,미국,드라마,주연-리처드 닉슨 역,0.0,27923.0,,
32,가을의 전설,Legend Of The Fall,1995,미국,멜로/로맨스,주연-윌리엄 러드로우 대령 역,0.0,231021.0,643000.0,255.0
33,로드 투 웰빌,The Road To Wellville,1994,미국,코미디,주연,0.0,2731.0,,
34,새도우 랜드,Shadow Lands,1993,영국,드라마,주연,0.0,12713.0,,
35,이노센트,The Innocent,1993,영국,드라마,주연,0.0,35494.0,,
36,찰리 채플린,CHAPLIN,1993,미국,드라마,조연,0.0,13567.0,,
37,남아있는 나날,Remains Of The Day,1993,미국,드라마,주연-제임스 스티븐스역,0.0,7513.0,414000.0,138.0
38,프리잭,Free Jack,1992,미국,"SF,액션",주연,0.0,88139.0,,
39,양들의 침묵,The Silence Of The Lambs,1991,미국,"스릴러,미스터리,범죄",주연-하니발 렉터 박사역,0.0,281133.0,,
40,광란의 시간,Desperate Hours,1990,미국,"스릴러,드라마,범죄",주연,0.0,59194.0,,
41,오델로,Othello,1981,영국,"드라마,멜로/로맨스",주연,,,,
42,계절의 변화,A Change Of Seasons,1980,미국,멜로/로맨스,주연,,,,
43,인형의 집,A Doll's House,1973,영국,드라마,주연-토발드 헬머 역역,,,,
44,휴론만의 요새,When Eight Bells Toll,1971,영국,"미스터리,범죄",주연,0.0,86773.0,,
45,거울 나라의 전쟁,The Looking Glass War,1969,영국,"액션,스릴러,드라마",주연,,,,
