,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,악의 도시,Septembers of Shiraz,2015,미국,스릴러,주연,42000.0,34.0,42000.0,34.0
1,백트랙,Backtrack,2015,호주,"미스터리,스릴러",주연,61638600.0,8078.0,61638600.0,8078.0
2,드래곤 블레이드,Dragon Blade,2015,중국,"액션,어드벤처",주연,427722800.0,56547.0,435192800.0,57377.0
3,맨하탄 녹턴,Manhattan Nocturne,2015,미국,"범죄,미스터리",주연,,,,
4,아메리칸 하이스트,American Heist,2014,미국,"범죄,액션",주연,35000.0,7.0,35000.0,7.0
5,그랜드 부다페스트 호텔,The Grand Budapest Hotel,2014,"미국,독일","미스터리,어드벤처",주연,6014299982.0,773887.0,6049062782.0,778493.0
6,써드 퍼슨 - 감독판,Third Person,2013,미국,"드라마,미스터리,멜로/로맨스",주연,87139400.0,10910.0,87282400.0,10929.0
7,디태치먼트,Detachment,2012,미국,드라마,주연-헨리 바르트역,96249900.0,12733.0,96267900.0,12736.0
8,1942,Back to 1942,2012,중국,드라마,주연,,,1534000.0,175.0
9,미드나잇 인 파리,Midnight In Paris,2011,"미국,스페인","코미디,멜로/로맨스,판타지",주연,2638444898.0,355851.0,2786600517.0,376307.0
10,프레데터스,Predators,2010,미국,"액션,스릴러,SF,어드벤처",주연,2025850507.0,281642.0,1991492500.0,276536.0
11,엑스페리먼트,The Experiment,2010,미국,"드라마,스릴러",주연-트래비스 역,583702363.0,80367.0,574538000.0,79088.0
12,지알로,Giallo,2009,"미국,이탈리아","드라마,공포(호러)",주연,400000.0,100.0,400000.0,100.0
13,스플라이스,Splice,2009,캐나다,"SF,공포(호러),스릴러",주연,1284084141.0,165393.0,1263923500.0,162760.0
14,블룸 형제 사기단,The Brothers Bloom,2008,미국,"코미디,드라마,멜로/로맨스,범죄,어드벤처,가족",주연-블룸역,502498186.0,75462.0,494990500.0,74339.0
15,캐딜락 레코드,Cadillac Records,2008,미국,"드라마,뮤지컬,멜로/로맨스",주연,,,,
16,더 재킷,The Jacket,2007,"미국,영국","스릴러,판타지",주연,606000.0,94.0,582377500.0,87837.0
17,다즐링 주식회사,The Darjeeling Limited,2007,미국,"드라마,어드벤처,코미디",주연,,10418.0,74466500.0,10711.0
18,할리우드랜드,Hollywoodland,2006,미국,"드라마,미스터리,범죄,스릴러",주연,0.0,96.0,574500.0,87.0
19,킹콩,King Kong,2005,미국,"드라마,어드벤처",주연,0.0,4232430.0,21476688172.0,3470059.0
20,피아니스트,The Pianist,2002,프랑스,드라마,주연-블라디슬로 스필만역,0.0,224304.0,107246500.0,14468.0
21,스위트 보이스,Dummy,2002,미국,"코미디,드라마,멜로/로맨스",주연-스티븐 역,,,,
22,빵과 장미,Bread And Roses,2000,영국,드라마,주연,0.0,7566.0,3244000.0,444.0
23,해리슨의 꽃,Harrison's Flowers,2000,프랑스,"드라마,멜로/로맨스",주연,,,,
24,썸머 오브 샘,Summer Of Sam,1999,미국,"공포(호러),범죄",주연-리치역,0.0,4903.0,,
25,옥시즌,Oxygen,1999,미국,"범죄,스릴러",주연,0.0,1124.0,,
26,리버티 하이츠,Liberty Heights,1999,미국,드라마,주연,,,,
27,레스토랑,Restaurant,1998,미국,드라마,주연,,,,
28,블렛,Bullet,1995,미국,"액션,드라마,범죄",조연,0.0,461.0,,
