,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,극장판 헬로카봇 : 백악기 시대,Hello Carbot the Movie: The Cretaceous Period,2018,한국,애니메이션,주연-T라인 목소리역(목소리),,,6173368300,824191
1,해적왕 작스톰,Zak Storm,2018,한국,애니메이션,주연-작스톰 목소리역(목소리),,,44855800,5741
2,미니특공대X,Mini Force X,2018,한국,애니메이션,주연-볼트 목소리역(목소리),744892200.0,99958.0,745801200,100087
3,뽀로로 극장판 공룡섬 대모험,"Pororo, Dinosaur Island Adventure",2017,한국,애니메이션,주연-치치 목소리 역(목소리),6226737300.0,827021.0,6226832300,827040
4,킹 오브 프리즘 - 프라이드 더 히어로,King of prism,2017,일본,애니메이션,주연-하야미 히로 한국어 목소리역(목소리),984175500.0,119398.0,1067288500,127222
5,바다 탐험대 옥토넛 시즌4: 더 파이널,OCTONAUTS Season4,2017,영국,"애니메이션,어드벤처",주연-페이소 목소리역,481425000.0,73797.0,481425000,73797
6,파워배틀 와치카: 와치가면의 역습,Power Battle Watch-Car : Return of Watch Mask,2017,한국,애니메이션,주연-지노(블루윌) 목소리역(목소리),165837000.0,23511.0,166763500,23647
7,트롤,Trolls,2016,미국,애니메이션,조연-그리스틀 왕 한국어 목소리 역역(목소리),5011161500.0,675966.0,5011161500,675966
8,바다 탐험대 옥토넛 시즌4: 바다 괴물 대소동,OCTONAUTS Season4,2016,영국,"애니메이션,어드벤처",주연-페이소역,404919500.0,60935.0,405330500,60980
9,눈의 여왕 3: 눈과 불의 마법대결,The Snow Queen3: Fire and Ice,2016,러시아,"애니메이션,어드벤처,가족,판타지",주연-올름역(목소리),2704798700.0,367919.0,2706728700,368195
10,부릉! 부릉! 브루미즈: 스피더의 모험 일기,Vroom! Vroom! Vroomiz,2016,한국,애니메이션,주연(목소리),89425500.0,11735.0,89425500,11735
11,파워배틀 와치카 미니카 배틀리그: 불꽃의 질주,,2016,한국,애니메이션,주연(목소리),270014820.0,35569.0,270545320,35666
