,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,완벽한 사육: 인간 사냥,Awaken,2015,미국,"액션,공포(호러),스릴러",주연,1132000.0,130.0,1132000.0,130.0
1,월 스트리트: 분노의 복수,Assault On Wall Street,2013,캐나다,"액션,스릴러",주연,180000.0,30.0,180000.0,30.0
2,생존자들,Aftermath,2012,미국,"액션,스릴러",주연,1125000.0,130.0,1125000.0,130.0
3,크레이브,Crave,2012,미국,"드라마,스릴러",주연,270000.0,54.0,270000.0,54.0
4,빌로우 제로,Below Zero,2011,캐나다,공포(호러),주연,,,500000.0,100.0
5,지미 앤 주디,Jimmy And Judy,2006,미국,"범죄,드라마,스릴러",주연-지미 라이트 역역,,,,
6,베니스 언더그라운드,Venice Underground,2005,미국,"액션,스릴러,범죄",주연,650000.0,100.0,650000.0,100.0
7,크로우 위키드 플레이어,The Crow: Wicked Prayer,2005,미국,"액션,어드벤처,판타지",주연,,,,
8,애니멀 팩토리,Animal Factory,2000,미국,드라마,주연,,,,
9,디트로이트 락 시티,Detroit Rock City,1999,미국,"어드벤처,코미디",주연,,,,
10,아메리칸 히스토리X,American History X,1998,미국,"범죄,드라마",주연,0.0,6919.0,,
11,포토그래퍼,Pecker,1998,미국,코미디,주연,,,,
12,비포 앤 애프터,Before & After,1995,미국,"스릴러,드라마",주연,0.0,6822.0,,
13,그래스 하프,The Grass Harp,1995,미국,"코미디,드라마",주연,,,,
14,브레인 스캔,Brain'S Scan,1994,미국,"SF,공포(호러),스릴러",주연,0.0,35559.0,,
15,샤칼,Little Odessa,1994,미국,"드라마,스릴러",주연,,,216000.0,42.0
16,우리들만의 집,A Home Of Our Own,1993,미국,"드라마,가족",주연,,,,
17,공포의 묘지 2,Pet Sematary 2,1992,미국,공포(호러),주연,,,,
18,터미네이터 2 : 심판의 날 감독판,Terminator II : Judgment Day Extended Special Edition,1991,미국,"액션,SF,스릴러",주연-존 코너역,98683000.0,13664.0,98683000.0,13664.0
19,터미네이터 2,Terminator II,1991,미국,"액션,SF,스릴러",주연-존 코너역,0.0,919444.0,1368500.0,154.0
