,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,고양이 닌자,Neko Ninja,2017,일본,"드라마,코미디",주연,,,62000.0,17.0
1,새벽을 알리는 루의 노래,Lu over the wall,2017,일본,애니메이션,주연,74843600.0,9054.0,74931800.0,9064.0
2,노란 코끼리,Yellow Elephant,2013,일본,멜로/로맨스,조연-아레치역,12299500.0,2317.0,12299500.0,2317.0
3,부도리의 꿈,The Life of Guskou Budori,2012,일본,애니메이션,주연-쿠보박사 역(목소리),123787500.0,18981.0,123787500.0,18981.0
4,부도리의 꿈(감독판),THE LIFE OF BUDORI GUSUKO,2012,일본,"애니메이션,판타지,드라마",주연-쿠보박사역(목소리),7551000.0,1033.0,7551000.0,1033.0
5,레인 폴,Rain Fall,2009,일본,"스릴러,액션",주연,150000.0,30.0,150000.0,30.0
6,세상은 가끔 아름답다,Life can be so wonderful,2007,일본,드라마,주연-파리인간역,173000.0,26.0,370000.0,61.0
7,부드러운 생활,It's Only Talk,2005,일본,드라마,주연,,,,
8,호숫가 살인사건,Lakeside Murder Case,2005,일본,"미스터리,스릴러",주연,,,,
9,방심은 금물,The Hunter And The Hunted,2004,일본,드라마,주연,,,,
10,드러그스토어 걸,Drugstore Girl,2003,일본,"멜로/로맨스,코미디",주연,,,,
11,간장선생,Kanzo sensei,1998,일본,"코미디,드라마",주연,0.0,15195.0,,
12,더 키,The Key,1997,일본,성인물(에로),주연-소이치로 역역,,,,
13,하늘이 이렇게 푸를 리 없다,Sky Cannot Be This Blue,1993,일본,"코미디,드라마",감독,,,,
