,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,플라이트 7500,7500,2014,미국,"미스터리,공포(호러)",주연,8000.0,1.0,8000.0,1.0
1,배드 컨트리,Bad Country,2014,미국,"액션,범죄,드라마",주연,,,,
2,콜럼버스 서클,Columbus Circle,2012,미국,"스릴러,범죄,미스터리",주연-릴리안 역역,,,,
3,라이징 썬,House Of The Rising Sun,2011,미국,"액션,범죄",주연-제니 포터역,,,,
4,러브 앤 댄싱,Love N' Dancing,2009,미국,"드라마,멜로/로맨스",주연,63000.0,9.0,63000.0,9.0
5,아드레날린24 2,Crank: High Voltage,2009,미국,"액션,스릴러",주연,,,,
6,저스트 프렌드,Just Friends,2005,미국,"코미디,멜로/로맨스",주연-제이미 팰라미노역,0.0,246431.0,1444893000.0,236759.0
7,비거 댄 더 스카이,Bigger Than The Sky,2005,미국,"멜로/로맨스,코미디,드라마",주연,,,,
8,나비효과,The Butterfly Effect,2004,미국,드라마,주연-에반역,0.0,1239079.0,6263521000.0,957728.0
9,배틀 오브 쉐이커 하이츠,The Battle Of Shaker Heights,2003,미국,"드라마,멜로/로맨스",주연,,,,
10,로드 트립,Road Trip,2000,미국,"코미디,어드벤처",주연-베스 와그너 역,0.0,44667.0,,
11,그들만의 계절,Varsity Blues,1999,미국,"코미디,드라마,멜로/로맨스",주연,0.0,2742.0,,
12,헨드릭스,Hendricks,1999,미국,"공포(호러),스릴러",주연,0.0,365.0,,
