,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,저스티스 리그,Justice League,2017,미국,"액션,어드벤처,판타지,SF",조연-메라역,14629692795.0,1786386.0,14629692795.0,1786386.0
1,리브 어게인,One More Time,2015,미국,"코미디,드라마",주연,16534000.0,2150.0,16534000.0,2150.0
2,애더럴 다이어리,The Adderall Diaries,2015,미국,"액션,드라마,스릴러",주연,135000.0,28.0,135000.0,28.0
3,대니쉬 걸,The Danish Girl,2015,"미국,영국",드라마,주연,1074763884.0,134029.0,1074963884.0,134079.0
4,쓰리데이즈 투 킬,3 Days to Kill,2014,미국,"액션,스릴러",주연,1748793200.0,229644.0,1749223200.0,229673.0
5,시럽,Syrup,2013,미국,"코미디,드라마,멜로/로맨스",주연,5000.0,1.0,5000.0,1.0
6,파라노이아,Paranoia,2013,"미국,프랑스","드라마,스릴러",주연,8000.0,1.0,8000.0,1.0
7,마세티 킬즈,Machete Kills,2013,미국,"코미디,액션,스릴러,범죄",주연-미스 산 안토니오역,17977500.0,5115.0,17977500.0,5115.0
8,럼 다이어리,The Rum Diary,2012,미국,"코미디,멜로/로맨스",주연,91844000.0,12685.0,91844000.0,12685.0
9,드라이브 앵그리 3D,Drive Angry 3D,2011,미국,액션,주연-파이퍼 역,252405500.0,30221.0,252405500.0,30221.0
10,다크니스,And Soon The Darkness,2010,"미국,아르헨티나,프랑스","공포(호러),스릴러,미스터리",주연,4000.0,1.0,4000.0,1.0
11,더 워드,The Ward,2010,미국,"공포(호러),스릴러",주연,,,1000000.0,200.0
12,리버 와이,The River Why,2010,미국,"멜로/로맨스,드라마",주연-에디 역역,,,,
13,수상한 가족,The Joneses,2009,미국,"코미디,드라마",주연-젠역,1000000.0,200.0,1000000.0,200.0
14,겟 썸,Never Back Down,2008,미국,"액션,드라마",주연-바하 밀러역,783743000.0,122410.0,783743000.0,119124.0
15,인포머스,The Informers,2008,"미국,독일","범죄,드라마,스릴러",주연,,,,
