,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,시선 사이,If You Were Me,2016,한국,드라마,주연,17660200.0,2344.0,17660200.0,2344.0
1,가을 우체국,Autumn Sonata,2015,한국,"멜로/로맨스,드라마",조연,23270700.0,3099.0,23270700.0,3099.0
2,과대망상자들,The Delusionist,2015,한국,드라마,주연-김박사역,,,,
3,성실한 나라의 앨리스,Alice In Earnestland,2014,한국,드라마,조연,349482500.0,43964.0,350231500.0,44074.0
4,울언니: 성상납의 비밀 무삭제판,,2014,한국,"스릴러,드라마",주연,14000.0,2.0,14000.0,2.0
5,울언니,,2014,한국,"드라마,스릴러",주연,25602000.0,4780.0,25602000.0,4780.0
6,시선,God's Eye View,2013,한국,드라마,주연,92023000.0,12950.0,92023000.0,12950.0
7,열한시,AM 11:00,2013,한국,스릴러,단역-서박사역,6097792000.0,870785.0,6097792000.0,870785.0
8,배우는 배우다,Rough Play,2013,한국,드라마,조연,811031000.0,111927.0,811844000.0,112029.0
9,전국노래자랑,Born to Sing,2013,한국,"코미디,드라마",주연,6685476000.0,977873.0,6687636000.0,978413.0
10,세개의 거울,,2013,한국,드라마,주연,,,,
11,간첩,The Spies,2012,한국,"드라마,코미디,액션",단역-비아그라 남역,9316548500.0,1310895.0,9316548500.0,1310895.0
12,생생활활,Eating Talking Faucking,2011,한국,"드라마,멜로/로맨스",조연,2343000.0,294.0,2343000.0,294.0
13,결정적 한방,Sunday Punch,2011,한국,"코미디,드라마",조연,439400000.0,60944.0,439400000.0,60944.0
14,오직 그대만,Always,2011,한국,멜로/로맨스,조연,7591008500.0,1027622.0,7592288500.0,1027782.0
15,카운트다운,Countdown,2011,한국,"드라마,액션",조연,3630557000.0,471547.0,3630557000.0,471547.0
16,감 3D,persimmon,2011,한국,드라마,주연,,,20000.0,4.0
17,연보라빛 새,A PALE PURPLE BIRD,2011,한국,기타,감독,,,,
18,빨강,Red,2010,한국,드라마,주연,,,,
19,요쿠르트 아줌마,Yogurt Lady,2010,한국,드라마,주연,,,,
20,파란만장,Night Fishing,2010,한국,"드라마,판타지",주연,,,400718.0,298.0
21,이태원 살인사건,Where the Truth Lies,2009,한국,"범죄,미스터리,스릴러",주연-김 변호사 역,4023152210.0,537075.0,3978107000.0,531023.0
22,국가대표,Take Off,2009,한국,"드라마,액션,코미디",단역-약사2역,60896633308.0,8487894.0,57570773000.0,8035181.0
23,아기와 나,Baby And Me,2008,한국,"드라마,코미디",조연,2667055000.0,435551.0,2669249500.0,435940.0
24,아버지와 마리와 나,"Like Father, Like Son",2008,한국,드라마,조연,28278000.0,4162.0,28278000.0,4162.0
25,세븐 데이즈,7 Days,2007,한국,"스릴러,범죄",단역-양창구역,38146000.0,2120741.0,13720377000.0,2048339.0
26,파란자전거,The Elephant On The Bike,2007,한국,드라마,주연,0.0,2355.0,13805000.0,2205.0
27,태왕사신기,,2007,한국,드라마,주연,,,,
28,굿바이 칠드런,Goodbye Children,2006,한국,드라마,주연,,,,
29,와인드 업,Wind Up,2005,한국,"드라마,판타지",주연,,,,
30,장님은 무슨 꿈을 꿀까요,How Does the Blind Dream,2005,한국,"드라마,판타지,멜로/로맨스",주연,,,,
31,올드보이,Old Boy,2003,한국,스릴러,단역-자살남역,0.0,3269000.0,2007208000.0,310021.0
32,와이키키 브라더스,Waikiki Brothers,2001,한국,드라마,주연-현구역,0.0,88214.0,1648900.0,263.0
33,사월의 끝,The End of April,2000,한국,"드라마,멜로/로맨스",주연,,,,
34,눈 감으면 보이는 세상,White Side of the End,1996,한국,드라마,주연,,,,
