,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,스파이 게임,Unlocked,2017,영국,"액션,스릴러",주연,122840172.0,15986.0,122840172.0,15986.0
1,캐리비안의 해적: 죽은 자는 말이 없다,Pirates of the Caribbean: Dead Men Tell No,2017,미국,"액션,어드벤처,판타지,코미디",주연,24975495122.0,3049894.0,24975495122.0,3049894.0
2,줄루 범죄도시,Zulu,2014,"프랑스,남아프리카공화국","범죄,액션",주연-브라이언 엡킨역,5000.0,1.0,5000.0,1.0
3,호빗: 다섯 군대 전투,The Hobbit: The Battle of the Five Armies,2014,"미국,뉴질랜드","어드벤처,판타지",주연,24268487685.0,2836774.0,24268487685.0,2836774.0
4,로미오와 줄리엣,Romeo and Juliet,2013,미국,공연,주연,1505000.0,110.0,3266000.0,252.0
5,호빗: 스마우그의 폐허,The Hobbit: The Desolation of Smaug,2013,"미국,뉴질랜드","어드벤처,드라마,판타지",주연,17850613316.0,2282744.0,17850613316.0,2282744.0
6,굿닥터,The Good Doctor,2011,미국,스릴러,주연,7107500.0,961.0,8382500.0,1561.0
7,삼총사 3D,The Three Musketeers,2011,"독일,영국,프랑스","액션,어드벤처",주연,5731619500.0,660172.0,5731619500.0,660172.0
8,미라클맨,Sympathy For Delicious,2010,미국,"코미디,드라마",주연,900000.0,150.0,900000.0,150.0
9,메인 스트리트,MAIN STREET,2010,미국,드라마,주연,1200000.0,80.0,1200000.0,80.0
10,뉴욕 아이 러브 유,"New York, I Love You",2008,미국,"코미디,드라마,멜로/로맨스",주연-데이빗 역,647982325.0,83600.0,638301000.0,82356.0
11,캐리비안의 해적: 세상의 끝에서,Pirates Of The Caribbean: At Worlds End,2007,미국,"액션,코미디,어드벤처,판타지",주연,0.0,4966571.0,29133447500.0,4571229.0
12,캐리비안의 해적 : 망자의 함,Pirates Of The Caribbean: Dead Man`S Chest,2006,미국,"액션,코미디,어드벤처,판타지",주연-윌 터너역,0.0,4628903.0,23832939000.0,3911617.0
13,엘리자베스타운,Elizabethtown,2005,미국,"코미디,드라마,멜로/로맨스",주연,0.0,97800.0,507710000.0,77588.0
14,킹덤 오브 헤븐,Kingdom Of Heaven,2005,미국,액션,주연,0.0,1484000.0,7815893000.0,1237269.0
15,올랜도 블룸의 위험한 열정,Haven,2004,"미국,영국,독일,스페인","범죄,드라마",주연,270000.0,54.0,270000.0,54.0
16,트로이,Troy,2004,미국,사극,주연,0.0,3851000.0,12777421000.0,2001318.0
17,칼슘 키드,The Calcium Kid,2004,영국,코미디,주연,,,,
18,반지의 제왕 : 왕의 귀환 (확장판),The Lord of the Rings: The Return of the King,2003,"뉴질랜드,미국","판타지,어드벤처,액션",주연-레골라스 역역,370268000.0,30349.0,370268000.0,30349.0
19,네드 켈리,Ned Kelly,2003,호주,드라마,주연,0.0,3000.0,8074500.0,1270.0
20,반지의 제왕 : 두개의 탑 (확장판),The Lord Of The Rings : The Two Towers,2002,"뉴질랜드,미국","판타지,어드벤처,액션",주연-레골라스 역역,350183800.0,27440.0,350183800.0,27440.0
21,반지의 제왕 : 반지원정대 (확장판),The Lord Of The Rings : The Fellowship Of The Rings,2001,"뉴질랜드,미국","판타지,어드벤처,액션",주연-레골라스 역역,470027900.0,35758.0,470027900.0,35758.0
