,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,분노,RAGE,2016,일본,스릴러,주연,234732537.0,29061.0,235703037.0,29224.0
1,고질라,Godzilla,2014,미국,"액션,SF",주연,5972847963.0,709734.0,5972847963.0,709734.0
2,틴에이지 뱀파이어,Cirque Du Freak: The Vampire's Assistant,2009,미국,"액션,가족,공포(호러),판타지,스릴러",조연,,,,
3,내일의 기억,Memories Of Tomorrow,2006,일본,드라마,주연,0.0,87354.0,551748000.0,84027.0
4,이오지마에서 온 편지,Letters From Iwo Jima,2006,미국,"전쟁,드라마",주연,,,,
5,북의 영년,Year One In The North,2005,일본,드라마,주연,,,,
6,라스트 사무라이,The Last Samurai,2003,미국,액션,조연,0.0,1263200.0,1904879500.0,299206.0
7,신 의리없는 전쟁 - 음모,Another Battle: Conspiracy,2003,일본,액션,주연,,,192000.0,48.0
8,물에 빠진 물고기,Oboreru Sakana,2001,일본,"코미디,액션",주연,,,,
9,이케부쿠로 웨스트 게이트 파크,I.W.G.P.,2000,일본,드라마,조연,,,,
