,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,24시간 달리는 쾌락 버스,SHINJIN TOUR CONDUCTOR AYA,2015,일본,"멜로/로맨스,드라마",주연,5000.0,1.0,5000.0,1.0
1,기모노를 입은 아가씨,Japanese mafia Women5,2015,일본,"멜로/로맨스,드라마",주연,100000.0,10.0,100000.0,10.0
2,여인의 숙명 - 야쿠자의 여자,Fate,2015,일본,"성인물(에로),드라마",주연,5000.0,1.0,5000.0,1.0
3,여자의 무기 - 야쿠자의 여자,Ironic destiny,2015,일본,"성인물(에로),드라마",주연,5000.0,1.0,5000.0,1.0
4,운명의 시작 - 야쿠자의 여자,Love and Violence,2014,일본,"성인물(에로),드라마",주연,5000.0,1.0,5000.0,1.0
5,치명적 유혹 - 야쿠자의 여자,Only One I love was,2014,일본,"성인물(에로),드라마",주연,5000.0,1.0,5000.0,1.0
6,요시자와 아키호의 고양이 가족,Sex Friends Cohabitation,2013,일본,"멜로/로맨스,드라마",주연,,,,
7,트럭걸 나미,Decotora girl nami Excitement! Yorohiku ver,2012,일본,"멜로/로맨스,드라마",주연,100000.0,10.0,100000.0,10.0
8,SP우먼,SP WOMAN,2012,일본,성인물(에로),주연,30000.0,10.0,30000.0,10.0
9,트럭 운전사 나미 3,,2011,일본,드라마,주연,,,38500.0,11.0
10,스캔들: 세 남녀,Madobe-no-Honkytonk,2010,일본,"멜로/로맨스,드라마",주연,5000.0,1.0,5000.0,1.0
11,에로닌자걸:정사,Kasumi syoujyohigidennsetu,2010,일본,"멜로/로맨스,액션",주연,100000.0,10.0,100000.0,10.0
12,쾌락! 메이드로이드,MEIDROID2,2010,일본,성인물(에로),주연,30000.0,10.0,30000.0,10.0
13,러브 앤 돌,Air Sex Doll,2010,일본,"드라마,성인물(에로)",주연,,,,
14,힌코의 에로틱 망가,HINKO'S EROTIC MANGA,2010,일본,"코미디,드라마",주연-힌코 역역,,,,
15,트럭 운전사 나미1,DEKOTORA GAL NAMI,2008,일본,드라마,주연,,,10500.0,3.0
16,가부키쵸의 절정대결,LOVE MASTER VOL.3 WANDERING KABUKICHO ECSTASY BATTLE,2008,일본,성인물(에로),주연,,,,
17,금단의 유혹,An Attraction Girl Paradise,2008,일본,성인물(에로),주연,,,,
18,트럭 운전사 나미2,Dekotora Gal Nami 2,2008,일본,드라마,주연,,,7000.0,2.0
19,에로닌자 카즈미4,KASUMI VOL.4 AMONGST REVENGE AND SYMPATHY,2007,일본,멜로/로맨스,주연,,,30000.0,10.0
20,유혹,,2007,일본,성인물(에로),주연,,,658000.0,135.0
21,참을수 없는 금단의 정사,Naughty Instincts,2007,일본,성인물(에로),주연,,,30000.0,10.0
22,궁녀-방탕한 왕과 음란한 궁녀들,OOKU 1,2006,일본,"멜로/로맨스,사극",주연,100000.0,10.0,100000.0,10.0
23,만원전철속의 그녀,,2006,일본,성인물(에로),주연,,,,
24,사쿠라의 비밀애,All Grown Up - The Forbidden Gate,2006,일본,멜로/로맨스,주연,,,30000.0,10.0
25,요시코의 금지된 사랑과 섹스,All Grown Up,2006,일본,성인물(에로),주연,,,30000.0,10.0
