,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,블랙스톤,Black Stone,2015,"한국,프랑스",드라마,주연,1631600.0,279.0,1764600.0,299.0
1,고란살,A Lonely Bird,2015,한국,드라마,주연-태원역,,,,
2,다른 세상에서,In another place,2015,한국,드라마,"감독,주연",,,,
3,서울독립영화제2015 경쟁단편 5,,2015,한국,기타,감독,,,486700.0,83.0
4,시네마,Cinema,2015,한국,기타,감독,,,,
5,인디포럼2015 고백의 기술,,2014,한국,기타,감독,,,,
6,지옥화,Fire in Hell,2012,한국,드라마,주연-지월역,3673000.0,572.0,3813000.0,600.0
7,백야,White Night,2012,한국,멜로/로맨스,주연-원규역,44275000.0,6075.0,45622000.0,6403.0
8,새 삶,Lost and Found,2011,한국,기타,주연,,,120000.0,60.0
9,심장이 뛰네,My Heart Beats,2010,한국,드라마,주연,4325500.0,677.0,4325500.0,677.0
