,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,삼생삼세 십리도화,Once Upon a Time,2017,중국,"판타지,멜로/로맨스,액션",주연,6088500.0,1096.0,6088500.0,1096.0
1,언더 파이어,The Chinese Widow,2017,중국,"멜로/로맨스,전쟁",주연,,,,
2,야공작,NIGHT PEACOCK,2015,"중국,프랑스","멜로/로맨스,드라마",주연,705500.0,99.0,897000.0,130.0
3,청춘연애,Never Gone,2015,중국,멜로/로맨스,주연,13000.0,5.0,1073500.0,196.0
4,제3의 사랑,The Third Way of Love,2014,중국,"멜로/로맨스,드라마",주연,58347400.0,8108.0,58467400.0,8128.0
5,아웃캐스트: 절명도망 무삭제판,Outcast,2014,"미국,캐나다,중국","액션,전쟁,어드벤처",주연,10000.0,2.0,10000.0,2.0
6,사대명포 3 : 종극대결전,The Four 3,2014,중국,액션,주연,,,,
7,사대명포 2,The Four 2,2013,"홍콩,중국",액션,주연,7590000.0,1700.0,7590000.0,1700.0
8,사대명포,The Four,2012,중국,"판타지,액션",주연,10380000.0,5220.0,10380000.0,5220.0
9,조조-황제의 반란 감독판,THE ASSASSINS,2012,중국,"전쟁,드라마",주연,215000.0,43.0,215000.0,43.0
10,조조-황제의 반란,The Assassins,2012,중국,사극,주연,535668500.0,75297.0,535708500.0,75301.0
11,초한지 - 천하대전 감독판,White Vengeance,2011,중국,액션,주연,215000.0,43.0,215000.0,43.0
12,초한지 - 천하대전,White Vengeance,2011,"중국,홍콩",액션,주연-우희 역,710375000.0,94652.0,710375000.0,94652.0
13,천녀유혼,A Chinese Fairy Tale,2010,중국,"SF,판타지,멜로/로맨스",주연-섭소천역,497089500.0,66219.0,497537500.0,66357.0
14,포비든 킹덤: 전설의 마스터를 찾아서,The Forbidden Kingdom,2008,미국,"액션,어드벤처,판타지",주연-금연자 역,7876101835.0,1221352.0,7872763500.0,1211890.0
15,신조협려 2006,Condor Hero,2006,중국,"드라마,액션",주연,,,,
16,오월지련,Love of May,2004,대만,멜로/로맨스,주연,,,,
