,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,말모이,,2018,한국,드라마,주연,,,,
1,골든슬럼버,Golden Slumber,2017,한국,"범죄,드라마",단역,11413087798.0,1387562.0,11412768798.0,1387508.0
2,범죄도시,THE OUTLAWS,2017,한국,"범죄,액션",주연,56318014149.0,6879841.0,56322098349.0,6880535.0
3,죽여주는 여자,The Bacchus Lady,2016,한국,드라마,주연,884865300.0,121444.0,884934300.0,121452.0
4,극적인 하룻밤,LOVE GUIDE FOR DUMPEES,2015,한국,"멜로/로맨스,코미디",주연,2616673429.0,321641.0,2616673429.0,321641.0
5,소수의견,The Unfair,2013,한국,드라마,주연,2891431205.0,383332.0,2892681205.0,383582.0
6,레드카펫,Red Carpet,2013,한국,"멜로/로맨스,코미디",주연-정우 역,2405669580.0,316953.0,2405669580.0,316953.0
7,배우수업,,2013,한국,"코미디,가족",주연,,,,
8,사랑의 가위바위보,One Perfect Day,2013,한국,"멜로/로맨스,코미디",주연-운철역,,,15056000.0,1882.0
9,풍산개,Poongsan,2011,한국,드라마,주연-풍산역,5395019500.0,714102.0,5395201500.0,714136.0
10,조금만 더 가까이,"Come, Closer",2010,한국,"멜로/로맨스,드라마",주연-현오역,92621543.0,12082.0,91701700.0,11966.0
11,집행자,The Executioner,2009,한국,드라마,주연-재경역,2961477652.0,395865.0,2935796000.0,393019.0
12,비스티 보이즈,Beastie Boys,2008,한국,드라마,주연,4785372500.0,727409.0,4785493000.0,719587.0
13,6년째 연애중,Lovers of 6 Years,2007,한국,"멜로/로맨스,드라마",주연,7460438000.0,1123294.0,7422697000.0,1112238.0
14,발레 교습소,Flying Boys,2004,한국,드라마,주연,0.0,114478.0,531319500.0,87446.0
