,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,간첩,The Spies,2012,한국,"드라마,코미디,액션",조연-리부상역,9316548500.0,1310895.0,9316548500.0,1310895.0
1,건축학개론,Architecture 101,2012,한국,"멜로/로맨스,드라마",조연-서연 부역,30219800500.0,4110645.0,30238893900.0,4113446.0
2,리턴,Wide Awake,2007,한국,"미스터리,스릴러",단역-마취과 부장 역,0.0,677939.0,4271881500.0,641852.0
3,이장과 군수,Small Town Rivals,2007,한국,코미디,단역-도지사역,0.0,1269142.0,7594186000.0,1179661.0
4,한반도,Hanbando,2006,한국,"드라마,액션",단역-육군 참모총장역,0.0,3880308.0,20597497600.0,3331593.0
5,청연,Blue Swallow,2005,한국,드라마,단역-지혁 부역,0.0,543597.0,3106824400.0,496061.0
6,달콤한 인생,A Bittersweet Life,2004,한국,액션,단역-박 사장역,0.0,1271595.0,7235539100.0,1112950.0
7,신석기 블루스,Shin Suk-ki Blues,2004,한국,코미디,단역-재판장 1역,0.0,383674.0,1797632500.0,282552.0
8,피아노 치는 대통령,The Romantic President,2002,한국,드라마,단역-야당 위원역,,163227.0,,
9,인디안 썸머,Indian Summer,2001,한국,드라마,조연-최일만역,0.0,388865.0,,
10,캣 우먼&맨,Cat Woman & Man,1995,한국,,주연,,,,
11,칠수와 만수,Chil-Su And Man-Su,1988,한국,드라마,단역,0.0,73751.0,809000.0,321.0
12,연산일기,Prince Yeonsan's Life,1987,한국,사극,단역,0.0,11128.0,0.0,0.0
