,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,청년경찰,Midnight Runners,2017,한국,액션,단역-가출 여고생 브로커 건영역,44381150516.0,5653270.0,44382020516.0,5653444.0
1,분장,LOST TO SHAME,2016,한국,드라마,"단역-리딩장 사람들역,오디션 배우들역",21236800.0,2914.0,24102900.0,3318.0
2,퇴마: 무녀굴,The Chosen: Forbidden Cave,2015,한국,"공포(호러),스릴러",단역-조문객 여자4역,951843500.0,120802.0,951843500.0,120802.0
3,화끈한 써비스: 어느 잔인한 미용사의,,2014,한국,스릴러,단역-여자2역,868000.0,148.0,868000.0,148.0
4,시선,God's Eye View,2013,한국,드라마,조연-허영란역,92023000.0,12950.0,92023000.0,12950.0
5,사랑방 선수와 어머니,Swindler In My Mom'S House,2007,한국,코미디,단역-핸드폰 점원역,0.0,541236.0,3286151000.0,509235.0
6,해바라기,Sunflower,2006,한국,"액션,드라마,가족,범죄",단역-비서역,0.0,1543429.0,7835485400.0,1305024.0
7,잔혹한 출근,Educating Kidnappers,2006,한국,"코미디,범죄",단역-간호사역,0.0,429546.0,2076522300.0,348508.0
8,파산의 기술,The Description of Bankruptcy,2006,한국,다큐멘터리,단역,,,263000.0,45.0
9,1학년 1학기,First Grade,2003,한국,드라마,단역,,,,
