,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,곰돌이 푸 다시 만나 행복해,Christopher Robin,2018,미국,어드벤처,주연,,,,
1,미녀와 야수,Beauty and the Beast,2017,미국,"멜로/로맨스,판타지,뮤지컬",주연,42132589579.0,5138193.0,42133751579.0,5138328.0
2,트레이터,Our Kind of Traitor,2016,영국,"범죄,스릴러",주연,15514500.0,2036.0,15514500.0,2036.0
3,아메리칸 패스토럴,American Pastoral,2016,미국,"가족,드라마","감독,주연",18127900.0,2412.0,18136900.0,2413.0
4,제인 갓 어 건,Jane Got a gun,2016,미국,"액션,드라마,서부극(웨스턴)",주연,,,,
5,광야의 40일,Last Days In The Desert,2015,미국,"어드벤처,드라마",주연,4409500.0,824.0,4409500.0,824.0
6,마일스,Miles Ahead,2015,미국,드라마,주연,92868983.0,11375.0,92924983.0,11382.0
7,모데카이,Mortdecai,2015,미국,"액션,코미디",주연,624513020.0,78070.0,624513020.0,78070.0
8,나쁜 녀석들,Son Of A Gun,2014,호주,"범죄,액션",주연,35561300.0,4936.0,35561300.0,4936.0
9,어거스트: 가족의 초상,August: Osage County,2013,미국,드라마,주연,542301500.0,71747.0,545341500.0,72377.0
10,잭 더 자이언트 킬러,JACK THE GIANT SLAYER,2013,미국,"판타지,드라마,어드벤처",주연,7376481000.0,956154.0,7376481000.0,956154.0
11,사막에서 연어낚시,Salmon Fishing In The Yemen,2012,영국,드라마,주연,148868500.0,19630.0,148945500.0,19641.0
12,더 임파서블,The Impossible,2012,"스페인,미국","액션,드라마,스릴러",주연-헨리역,4459497500.0,625058.0,4460151500.0,625190.0
13,헤이와이어,Haywire,2011,"미국,아일랜드","액션,스릴러,미스터리,어드벤처,드라마",주연-케네스역,385998324.0,54797.0,386495324.0,54874.0
14,퍼펙트 센스,Perfect Sense,2011,영국,멜로/로맨스,주연-마이클역,343990100.0,45865.0,343990100.0,45865.0
15,비기너스,Beginners,2010,미국,"드라마,멜로/로맨스",주연-올리버역,146055000.0,18489.0,146055000.0,18489.0
16,유령작가,The Ghost Writer,2010,"프랑스,독일,영국","미스터리,스릴러",주연-유령작가 역,1336206483.0,180826.0,1314707200.0,177743.0
17,초(민망한)능력자들,The Men Who Stare at Goats,2009,"미국,영국",코미디,주연-밥 윌턴 역,136718000.0,18210.0,136718000.0,18210.0
18,필립모리스,I Love You Phillip Morris,2009,프랑스,"코미디,드라마",주연,649568183.0,84859.0,639369700.0,83508.0
19,천사와 악마,Angels & Demons,2009,미국,"미스터리,범죄,스릴러",주연-카를로 벤트레스카역,12734649711.0,1936321.0,12541341000.0,1906687.0
20,아멜리에 : 하늘을 사랑한 여인,Amelia,2009,"미국,캐나다","어드벤처,드라마",주연-진 비달 역,,,,
21,"아이, 루시퍼","I, Lucifer",2009,영국,"코미디,판타지",주연,,,,
22,더 클럽,Deception,2008,미국,"멜로/로맨스,드라마,스릴러",주연-조나단 맥쿼리역,490754500.0,73126.0,491297500.0,73211.0
23,인센디어리,Incendiary,2008,영국,"멜로/로맨스,스릴러",주연,,,,
24,미스 포터,Miss Potter,2007,영국,드라마,주연,0.0,325085.0,1934251000.0,315091.0
25,카산드라 드림,Cassandra's Dream,2007,"미국,영국,프랑스","범죄,드라마",주연,,,252000.0,54.0
26,스톰브레이커,Stormbreaker,2006,"영국,미국,독일","액션,어드벤처,가족",주연-이안 라이더 역,621282.0,79.0,612000.0,78.0
27,스테이,Stay,2005,미국,"드라마,스릴러",주연,0.0,39600.0,199788000.0,31127.0
28,발리언트(애니),Valiant,2005,영국,코미디,주연,0.0,147877.0,766611500.0,128422.0
29,로봇(애니),Robots,2005,미국,코미디,주연,0.0,826100.0,3748779500.0,623723.0
30,아일랜드,The Island,2005,미국,"SF,드라마,액션,스릴러",주연,0.0,3433900.0,20363994500.0,3218811.0
31,스타워즈 에피소드3 - 시스의복수,Star Wars: Episode Iii - Revenge Of The Sith,2005,미국,SF,주연,0.0,1722800.0,9325899000.0,1464794.0
32,영 아담,Young Adam,2003,영국,드라마,주연,0.0,27838.0,146296000.0,22769.0
33,빅 피쉬,Big Fish,2003,미국,판타지,주연,0.0,244421.0,476625000.0,72239.0
34,다운 위드 러브,Down With Love,2003,"미국,독일","멜로/로맨스,코미디",주연,0.0,38000.0,,
35,패스터,Faster,2003,"미국,스페인",다큐멘터리,주연,,,,
36,스타워즈 에피소드 2 : 클론의 습격,Star Wars: Episode II - Attack Of The Clones,2002,미국,SF,주연,0.0,546200.0,,
37,물랑루즈,Moulin Rouge,2001,미국,"멜로/로맨스,뮤지컬",주연,0.0,530812.0,137097655.0,21502.0
38,노라,Nora,2000,"영국,아일랜드,이탈리아,독일",드라마,주연-제임스 조이스역,,,,
39,겜블,Rogue Trader,1999,영국,"범죄,스릴러",주연-닉 리슨역,0.0,2203.0,,
40,아이 오브 비홀더,Eye Of The Beholer,1999,"호주,영국,캐나다","스릴러,미스터리",주연,0.0,58653.0,,
41,스타워즈:에피소드1 보이지 않는 위험,Star Wars: Episode I - The Phantom Menace,1999,미국,"SF,액션,어드벤처,판타지",주연,0.0,746654.0,1230735000.0,110702.0
42,튜브 테일,Tube Tales,1999,영국,드라마,감독,,,,
43,벨벳 골드마인,Velvet Goldmine,1998,"영국,미국","드라마,뮤지컬",주연,0.0,28135.0,46375485.0,5882.0
44,나이트워치,Nightwatch,1998,미국,"공포(호러),스릴러",주연,,,,
45,이완 맥그리거의 인질,A Life Less Ordinary,1997,"미국,영국","드라마,멜로/로맨스,코미디",주연,0.0,104240.0,,
46,브래스드오프,Brassed Off,1997,영국,"드라마,코미디,멜로/로맨스",주연,0.0,35934.0,,
47,악마의 키스,The Serpent's Kiss,1997,영국,드라마,주연-크롬 역역,,,,
48,필로우 북,The Pillow Book,1996,"영국,프랑스,네덜란드","멜로/로맨스,드라마",주연,0.0,1741.0,5000.0,1.0
49,엠마,Emma,1996,"미국,영국","멜로/로맨스,드라마",주연,0.0,26318.0,,
50,트레인스포팅,Trainspotting,1996,영국,"드라마,범죄",주연,0.0,139322.0,,
51,블루 쥬스,Blue Juice,1995,영국,"드라마,코미디",주연,0.0,6996.0,,
52,쉘로우 그레이브,Shallow Grave,1994,영국,"드라마,스릴러",주연,0.0,8945.0,25000.0,5.0
