,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,비밥바룰라,Be-Bop-A-Lula,2018,한국,코미디,조연,318997200.0,46819.0,322062200.0,47432.0
1,살인소설,TRUE FICTION,2017,한국,스릴러,주연-지영역,392609200.0,49685.0,392591200.0,49682.0
2,그물,THE NET,2016,한국,드라마,조연-철우아내역,426185300.0,56541.0,426257300.0,56553.0
3,대호,The Tiger,2015,한국,사극,조연,13489904632.0,1762742.0,13489904632.0,1762742.0
4,산다,Alive,2014,한국,드라마,조연-진영역,32633200.0,4398.0,32633200.0,4398.0
5,경주,Gyeong-ju,2014,한국,"드라마,코미디,멜로/로맨스",조연-김창희 아내역,473094500.0,63456.0,473561500.0,63520.0
6,일대일,One on One,2014,한국,드라마,조연-오지하 부인역,78745100.0,10141.0,78747100.0,10142.0
7,가부키초 러브호텔,Kabukicho Love Hotel,2014,일본,드라마,주연,,,,
8,뫼비우스,Moebius,2013,한국,드라마,주연,255508579.0,35348.0,255508579.0,35348.0
9,신의 선물,Godsend,2012,한국,드라마,주연-승연역,9727600.0,1116.0,9727600.0,1116.0
10,말보로 전쟁,War of Malboro,2009,한국,드라마,주연-최은영 역,,,,
11,귀신이야기,A Ghosts Story,2007,한국,"공포(호러),코미디",주연,,,,
