,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,미세스 하이드,Mrs Hyde,2017,프랑스,드라마,주연,24599400.0,2995.0,24865400.0,3025.0
1,해피엔드,Happy End,2017,"프랑스,오스트리아 ,독일",드라마,주연,,,585000.0,65.0
2,클레어의 카메라,Claire's Camera,2016,한국,드라마,주연,75238300.0,9424.0,75289300.0,9430.0
3,엘르,ELLE,2016,"프랑스,독일,벨기에","드라마,스릴러",주연,279049100.0,35368.0,279049100.0,35368.0
4,다가오는 것들,Things to Come,2016,프랑스,드라마,주연,259131834.0,32355.0,262704834.0,32797.0
5,라우더 댄 밤즈,Louder Than Bombs,2015,"노르웨이,프랑스,덴마크",드라마,주연,89283700.0,11143.0,89283700.0,11143.0
6,마카담 스토리,Macadam Stories,2015,프랑스,드라마,주연,70384000.0,8942.0,70384000.0,8942.0
7,엘리노어 릭비: 그 남자 그 여자,The Disappearance of Eleanor Rigby: Them,2014,미국,드라마,주연,385681400.0,47813.0,385681400.0,47813.0
8,파리 폴리,Paris Follies,2014,프랑스,드라마,주연,85132500.0,11060.0,85132500.0,11060.0
9,베일을 쓴 소녀,The Nun,2013,프랑스,드라마,주연,45841000.0,6181.0,45841000.0,6181.0
10,퍼펙트,Dead man down,2013,미국,"액션,범죄,드라마",조연-엄마 로우존역,118503500.0,18179.0,118503500.0,18179.0
11,아무르,Amour,2012,"프랑스,독일,오스트리아",드라마,주연,615934600.0,80345.0,621015100.0,81071.0
12,다른나라에서,In Another Country,2011,한국,드라마,주연-안느역,237013700.0,30590.0,241291200.0,31143.0
13,코파카바나,Copacabana,2010,프랑스,드라마,주연-바부역,98734500.0,12513.0,101042500.0,12832.0
14,백인의 것,White Material,2009,프랑스,드라마,주연,,,1231000.0,179.0
15,홈,Home,2008,"스위스,프랑스,벨기에",드라마,주연,,,,
16,코미디 오브 파워,Comedy of Power,2006,프랑스,드라마,주연,,,,
17,가브리엘,Gabrielle,2005,"프랑스,이탈리아","드라마,멜로/로맨스",주연-가브리엘 허비역,,,,
18,내 어머니,My Mother,2004,"프랑스,포르투갈,오스트리아 ,스페인",드라마,주연,,,553000.0,85.0
19,내 언니를 소개합니다,Me and My Sister,2004,프랑스,코미디,주연,,,,
20,아이 러브 허커비,I Heart Huckabees,2004,"미국,독일",코미디,주연,,,,
21,늑대의 시간,The Time Of The Wolf,2003,"프랑스,오스트리아 ,독일",드라마,주연,,,,
22,8명의 여인들,8 Women,2002,프랑스,코미디,주연,0.0,824.0,117515000.0,17951.0
23,약속된 인생,The Promised Life,2002,프랑스,드라마,주연,,,,
24,투,Two,2002,"프랑스,독일,포르투갈",드라마,주연,,,,
25,피아니스트,The Piano Teacher,2001,프랑스,드라마,주연,0.0,12564.0,35502450.0,6246.0
26,두 어머니의 아들,Son Of Two Mothers Or The Comedy Of Innocence,2000,프랑스,드라마,주연,,,,
27,또다른 거짓,La Fausse Suivante,2000,프랑스,드라마,주연,,,,
28,모던 라이프,Modern Life,2000,"프랑스,스위스",드라마,주연,,,,
29,왕의 딸,The King's Daughters,2000,"프랑스,독일,벨기에","드라마,멜로/로맨스,사극",주연,,,,
30,운명,Les Destinees Sentimentales,2000,"프랑스,스위스","드라마,멜로/로맨스",주연,,,562000.0,98.0
31,초콜릿 고마워,Nightcap,2000,"프랑스,스위스","범죄,스릴러",주연,,,1794000.0,300.0
32,문제없음,Pas De Scandale,1999,프랑스,드라마,주연,,,,
33,육체의 학교,The School Of Flesh,1998,프랑스,드라마,주연,0.0,2902.0,268000.0,57.0
34,사기,The Swindle,1997,"프랑스,스위스","코미디,범죄",주연,,,569000.0,102.0
35,의식,A Judgement in Stone,1995,"프랑스,독일","범죄,스릴러",주연,,,4689000.0,750.0
36,이별,The Separation,1994,프랑스,"드라마,멜로/로맨스",주연,,,921500.0,123.0
37,아마추어,Amateur,1993,"미국,영국,프랑스",드라마,주연,,,1710000.0,312.0
38,마담 보봐리,Madame Bovary,1991,프랑스,드라마,주연,0.0,2165.0,1841000.0,399.0
39,베드룸 윈도우,The Bedroom Window,1987,미국,"미스터리,스릴러",주연,0.0,74528.0,,
40,대청소,Coup de torchon,1981,프랑스,,주연-로즈 메르카일로역,,,111500.0,15.0
41,춘희,Lady Of The Camelias,1981,"프랑스,이탈리아",멜로/로맨스,주연,,,,
42,룰루,Loulou,1980,프랑스,,주연,,,1070000.0,144.0
43,할 수 있는 자가 구하라: 인생,Sauve qui peut la vie,1979,프랑스,,주연,,,1233500.0,163.0
