,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,엄마의 공책,Notebook from My Mother,2017,한국,"드라마,가족",조연,59882500.0,8697.0,63276500.0,9342.0
1,지금 만나러 갑니다,Be With You,2017,한국,멜로/로맨스,조연-최강사역,20796161128.0,2601572.0,20800916128.0,2602273.0
2,골든슬럼버,Golden Slumber,2017,한국,"범죄,드라마",단역,11413087798.0,1387562.0,11412768798.0,1387508.0
3,구세주: 리턴즈,,2017,한국,코미디,단역-사채 사장역,45622000.0,6151.0,45622000.0,6151.0
4,장산범,The Mimic,2017,한국,"미스터리,스릴러",조연,10341783083.0,1306438.0,10341783083.0,1306438.0
5,내안의 그놈,,2017,한국,"판타지,코미디",조연,,,,
6,미스 푸줏간,,2016,한국,"코미디,멜로/로맨스,드라마",조연,3000.0,1.0,1715000.0,215.0
7,희생부활자,RV: Resurrected Victims,2015,한국,"미스터리,스릴러",단역-매형역,2515479835.0,323628.0,2515479835.0,323628.0
8,나홀로 휴가,A Break Alone,2015,한국,멜로/로맨스,주연,62136700.0,8220.0,62181700.0,8229.0
9,오빠생각,A Melody to Remember,2015,한국,"드라마,전쟁",조연,8058857287.0,1069436.0,8060591287.0,1069864.0
10,나를 잊지 말아요,Remember You,2015,한국,멜로/로맨스,조연-신현호역,3409535000.0,427197.0,3409535000.0,427197.0
11,그놈이다,FATAL INTUITION,2015,한국,스릴러,조연,8098811152.0,1046313.0,8098811152.0,1046313.0
12,악의 연대기,The Chronicles of Evil,2015,한국,스릴러,단역-이명천역,17361815332.0,2192525.0,17361815332.0,2192525.0
13,성실한 나라의 앨리스,Alice In Earnestland,2014,한국,드라마,주연,349482500.0,43964.0,350231500.0,44074.0
14,극비수사,The Classified File,2014,한국,"드라마,범죄",조연-매석환역,22389535897.0,2860786.0,22389535897.0,2860786.0
15,장수상회,Salut d’Amour,2014,한국,"멜로/로맨스,드라마",조연-오복성역,8729412643.0,1163575.0,8739586643.0,1166151.0
16,내 심장을 쏴라,Shoot Me in the Heart,2014,한국,드라마,단역-거리의 악사역,2856859132.0,387409.0,2856859132.0,387409.0
17,나의 독재자,My Dictator,2014,한국,드라마,조연-기철역,2906692546.0,385934.0,2907311546.0,386072.0
18,슬로우 비디오,Slow Video,2014,한국,"드라마,코미디",조연-배팀장역,8913092219.0,1169562.0,8913092219.0,1169562.0
19,타짜-신의 손,Tazza-The Hidden Card,2014,한국,드라마,조연-뺀지역,32373120927.0,4015361.0,32373120927.0,4015361.0
20,보호자,Guardian,2013,한국,"범죄,드라마",주연-진수역,3561500.0,458.0,3561500.0,458.0
21,찌라시: 위험한 소문,Tabloid Truth,2013,한국,"범죄,드라마",조연-남수역,9111648087.0,1221420.0,9111748087.0,1221427.0
22,친구 2,Friend : The Great Legacy,2013,한국,액션,조연-짬보역,21804687513.0,2971475.0,21804687513.0,2971475.0
23,화이: 괴물을 삼킨 아이,Hwayi: A Monster Boy,2013,한국,"액션,스릴러",조연-재개발 단지 경찰역,17695516795.0,2394466.0,17695683795.0,2394487.0
24,몽타주,Montage,2013,한국,스릴러,조연-신팀장역,15002458500.0,2095592.0,15002458500.0,2095592.0
25,혼자 있다 2,I am Alone 2,2013,한국,드라마,주연,,,,
26,사이코메트리,The Gifted Hands,2012,한국,미스터리,주연-양 수역,3978107129.0,534176.0,3978495129.0,534273.0
27,혼자있다,I am Alone,2011,한국,판타지,주연,,,0.0,0.0
28,단풍맞이 단합대회,How Wonderful Holiday!,2010,한국,드라마,주연,,,54136.0,42.0
29,애니멀 타운,Animal Town,2009,한국,드라마,주연,9857500.0,1339.0,10122000.0,1379.0
30,과속스캔들,Scandal Makers,2008,한국,코미디,단역-사진사역,53940101534.0,8245523.0,53801341400.0,8223342.0
31,불후의 명작,A Masterpiece in My Life,2000,한국,"드라마,멜로/로맨스",단역-영화사 직원1역,0.0,133531.0,,
32,창백한푸른점,Pale Blue Dot,1998,한국,드라마,주연,,,,
