,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,22년 후의 고백,Memoirs of a Murderer,2017,일본,스릴러,주연,12993500.0,1732.0,12993500.0,1732.0
1,테라포마스,Terraformars,2016,일본,"액션,공포(호러),SF",주연,,,,
2,악의교전,Lesson of the Evil,2012,일본,스릴러,주연-하스미 세이지역,11340500.0,1592.0,11674500.0,1646.0
3,스키야키 웨스턴 장고,Sukiyaki Western Django,2007,일본,"서부극(웨스턴),액션",주연,,,,
4,우미자루 2 : 리미트 오브 러브,Limit of Love: Umizaru,2006,일본,"액션,드라마",주연,,,,
5,이 가슴 가득한 사랑을,A Heartful Of Love,2005,일본,멜로/로맨스,주연,,,,
6,우미자루,Umizaru,2004,일본,액션,주연,,,,
7,프린세스 블레이드,The Princess Blade,2001,일본,"액션,SF",주연,0.0,0.0,,
8,음양사,The Yin-Yang Master,2001,일본,"드라마,판타지",주연,0.0,23000.0,,
9,러브 송,Love Song,2001,일본,"멜로/로맨스,드라마",주연-마츠오카역,,,,
10,크로스 파이어,Pyrokinesis,2000,일본,공포(호러),주연,,,,
