,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,극한직업,,2018,한국,코미디,주연,,,,
1,부라더,The Bros,2017,한국,코미디,주연,11783109998.0,1492903.0,11783109998.0,1492903.0
2,침묵,Heart Blackened,2017,한국,드라마,조연,3930219264.0,494097.0,3930219264.0,494097.0
3,조작된 도시,Fabricated City,2016,한국,"범죄,액션",조연,20138295587.0,2514943.0,20143992587.0,2515501.0
4,달빛궁궐,Lost in the moonlight,2016,한국,"애니메이션,판타지,어드벤처",주연-매화부인 목소리역(목소리),1147863700.0,153097.0,1148146700.0,153145.0
5,"로봇, 소리",SORI: Voice from the Heart,2015,한국,드라마,주연,3519595560.0,476665.0,3519595560.0,476665.0
6,타짜-신의 손,Tazza-The Hidden Card,2014,한국,드라마,주연-우사장역,32373120927.0,4015361.0,32373120927.0,4015361.0
7,뒷담화: 감독이 미쳤어요,Behind the Camera,2012,한국,드라마,주연,38535100.0,5284.0,38795100.0,5317.0
8,나는 왕이로소이다,I am the King,2012,한국,"사극,코미디",주연-수연역,5455343404.0,790181.0,5455343404.0,790181.0
9,연가시,Deranged,2012,한국,"공포(호러),SF",주연-연주역,32175400664.0,4515833.0,32175400664.0,4515833.0
10,히트,HIT,2011,한국,"드라마,액션,코미디",주연-선녀역,783919500.0,110631.0,783919500.0,110631.0
