,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,미쓰백,,2018,한국,드라마,주연,,,,
1,병훈의 하루,Mad Rush,2018,한국,,"감독,주연",,,,
2,1987,1987: When the Day Comes,2017,한국,드라마,조연,58166310145.0,7231770.0,58166910145.0,7231830.0
3,미옥,A Special Lady,2017,한국,"범죄,액션",주연,1897705564.0,238587.0,1930905564.0,242737.0
4,마약왕,DRUG KING,2017,한국,"범죄,드라마",조연,,,,
5,아빠의 검,My Father's Sword,2017,한국,드라마,주연,,,,
6,최악의 하루,Worst Woman,2016,한국,멜로/로맨스,조연,639959190.0,80754.0,643607190.0,81215.0
7,"로봇, 소리",SORI: Voice from the Heart,2015,한국,드라마,주연-진호역,3519595560.0,476665.0,3519595560.0,476665.0
8,오빠생각,A Melody to Remember,2015,한국,"드라마,전쟁",주연-갈고리역,8058857287.0,1069436.0,8060591287.0,1069864.0
9,해무(海霧),Haemoo,2014,한국,드라마,주연-창욱역,11706502519.0,1475472.0,11707382519.0,1475582.0
10,결혼전야,Marriage Blue,2013,한국,"멜로/로맨스,코미디",주연-대복역,8444337719.0,1214836.0,8444355719.0,1214839.0
11,감기,Flu,2013,한국,"드라마,어드벤처,액션",조연-병기역,21784202000.0,3119023.0,21774884000.0,3117859.0
12,환상속의 그대,Dear Dolphin,2012,한국,"멜로/로맨스,드라마,판타지",주연-김혁근역,53202700.0,7482.0,54406700.0,7896.0
13,차형사,Runway Cop,2012,한국,"코미디,액션",조연-경석역,9752555296.0,1346754.0,9752555296.0,1346754.0
14,"여기, 우리가 만나는 곳","Here, Where We Meet",2012,한국,다큐멘터리,주연,,,64000.0,32.0
15,화차,Helpless,2011,한국,미스터리,조연-노승주역,18459203000.0,2436400.0,18463007000.0,2436884.0
16,범죄와의 전쟁: 나쁜놈들 전성시대,Nameless Gangster : Rules of the Time,2011,한국,"범죄,드라마",단역-대학생1역,36538823500.0,4719872.0,36540327500.0,4720050.0
17,특수본,S.I.U.,2011,한국,"액션,범죄",조연-근수역,8096052500.0,1118258.0,8096052500.0,1118258.0
18,퀵,Quick,2011,한국,"코미디,액션",단역-대망실장역,22960890000.0,3125069.0,22960890000.0,3125069.0
19,모비딕,Moby Dick,2011,한국,"스릴러,드라마",조연-현덕역,3264596000.0,430936.0,3264596000.0,430936.0
20,그들은 대화중,Communique,2011,한국,드라마,주연,,,22500.0,18.0
21,심장이 뛴다,Heartbeat,2010,한국,드라마,단역-약사역,7538083500.0,1006947.0,7624895500.0,1025243.0
22,황해,The Yellow Sea,2010,"한국,미국,중국","스릴러,액션,범죄",단역-보은 경찰2역,16765970362.0,2167426.0,17497165500.0,2260512.0
23,부당거래,The Unjust,2010,한국,"범죄,드라마",조연-남 형사역,21326977937.0,2766436.0,20996584500.0,2723028.0
24,나는 곤경에 처했다!,I'm in Trouble!,2009,한국,"코미디,멜로/로맨스",조연-시형역,1774196.0,283.0,1753000.0,279.0
25,빙 어 트레블러,Being a Traveler,2009,한국,드라마,주연-준모역,,,,
26,약탈자들,The Pit And The Pendulum,2008,한국,드라마,주연-성익역,7265791.0,1071.0,7186000.0,1059.0
27,그림자,Resurrection of the Butterfly,2007,한국,"공포(호러),드라마",조연-부장역,0.0,224.0,2610000.0,453.0
28,밀양,Secret Sunshine,2007,한국,드라마,단역-야외기도회 자원봉사자 역,0.0,1710364.0,10270292500.0,1604439.0
