,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,교주전: 천공의 눈,LEGEND OF THE NAGA PEARLS,2017,중국,"판타지,액션,멜로/로맨스",주연,1119000.0,212.0,1119000.0,212.0
1,마담 K,Mrs.K,2017,홍콩,액션,주연,,,,
2,허니문 호텔 살인사건,Murder At Honeymoon Hotel,2016,중국,"스릴러,미스터리,범죄",조연,138000.0,52.0,138000.0,52.0
3,마궁매영: 유령극장,Phantom of the Theatre,2016,중국,"공포(호러),스릴러",주연-구 장관 역역,,,137000.0,23.0
4,진실금지구역,Inside or Outside,2016,중국,"범죄,액션,미스터리",주연,,,,
5,살파랑2: 운명의 시간,SPL 2: A Time for Consequences,2015,중국,"액션,범죄",주연,,,,
6,열혈강도: 위장 경찰 사기단,Two Thumbs Up,2015,홍콩,"액션,코미디",주연,,,,
7,빙봉협: 중생지문,Iceman Cometh 3D,2014,홍콩,"액션,판타지,코미디",주연,5819000.0,1219.0,5819000.0,1219.0
8,컨트롤,Control,2013,"홍콩,중국","액션,범죄,스릴러",주연,2990000.0,740.0,2990000.0,740.0
9,화양: 당대최고수전,Lovers are gamblers,2013,대만,"판타지,멜로/로맨스",주연,10742000.0,5291.0,10742000.0,5291.0
10,감시자들,Cold Eyes,2013,한국,"범죄,액션",조연-우정출연-수트남역,39380162179.0,5508017.0,39382418179.0,5508299.0
11,컨스테이블,The Constable,2013,홍콩,"액션,범죄,스릴러",주연,,,,
12,나이트폴,Night Fall,2012,"홍콩,중국","액션,스릴러,범죄",주연,99076000.0,13307.0,99076000.0,13307.0
13,도둑들,The Thieves,2012,"한국,홍콩","액션,범죄",주연-첸역,93665568500.0,12983330.0,93667250500.0,12983841.0
14,도둑들 영화를 만들다,,2012,한국,"드라마,다큐멘터리",주연-첸역,,,,
15,블랙랜섬,Black Ransom,2011,홍콩,"액션,스릴러",주연,,,,
16,수망자: 죄악미도,The Man Behind The Courtyard House,2011,중국,"범죄,드라마",주연,,,,
17,배드 블러드,Bad blood,2010,홍콩,액션,주연,7100000.0,1420.0,7100000.0,1420.0
18,세월신투,Echoes of the rainbow,2010,홍콩,"코미디,멜로/로맨스,드라마",주연,,,,
19,쉐도우 가드,The Blood Bond,2010,"미국,중국","액션,스릴러",주연-롬포크 역역,,,,
20,피의 복수,Vengeance,2009,"홍콩,프랑스","액션,범죄,스릴러",주연,8000.0,1.0,932000.0,140.0
21,엽문,Ip Man,2009,홍콩,"액션,드라마",주연-주청천역,733132023.0,110805.0,715878500.0,108277.0
22,기동부대: 인성,Tactical Unit: Human Nature,2009,홍콩,"범죄,액션,드라마",주연-용썬 역역,,,,
23,기동부대: 절로,Tactical Unit: No Way Out,2009,홍콩,"범죄,드라마,액션",주연,,,,
24,스패로우,The Sparrow,2008,홍콩,"액션,범죄",주연,50000.0,10.0,833000.0,122.0
25,탈수,Fatal Move,2008,홍콩,"액션,범죄",주연,,,,
26,근종,Eye In The Sky,2007,홍콩,"범죄,스릴러",주연,,,,
27,엑소더스,Exodus,2007,홍콩,"코미디,드라마",주연,,,,
28,트라이 앵글,The Iron Triangle,2007,"중국,홍콩",액션,주연,,,,
29,흑사회 2,Election 2,2006,홍콩,"드라마,범죄,액션",주연,,,2474000.0,364.0
30,흑사회,Election,2005,홍콩,"드라마,액션",주연,,,2762000.0,404.0
31,살파랑,SPL,2005,중국,"액션,범죄",주연,,,56000.0,8.0
32,신찰사형,Moving Targets,2005,홍콩,액션,조연,,,,
33,웨이크 오브 데쓰,Wake of Death,2004,"영국,독일,프랑스,남아프리카공화국","액션,드라마",주연,,,,
34,폭렬도시,Explosive City,2004,홍콩,액션,주연,,,,
35,기봉적수,Looking For Mr. Perfect,2003,홍콩,"액션,코미디,드라마",주연,,,,
36,피티유,PTU,2003,홍콩,"범죄,액션,드라마",주연,,,1476000.0,218.0
37,황심가기,Midnight Fly,2001,홍콩,드라마,주연,,,,
38,귀명모,Model From Hell,2000,홍콩,"코미디,공포(호러)",주연,,,,
39,냉전,Cold War,2000,홍콩,범죄,주연,,,,
40,더 맨,Man Wanted 3,2000,홍콩,액션,주연,,,,
41,사망망락,Deathnet.Com,2000,홍콩,기타,주연,,,,
42,의혈,,2000,한국,액션,주연,,,,
43,줄리엣과 양산백,Juliet In Love,2000,홍콩,멜로/로맨스,주연,,,,
44,미션,The Mission,1999,홍콩,"액션,범죄",주연-아남역,0.0,5376.0,,
45,신고양의생,Trust Me U Die,1999,홍콩,공포(호러),주연,,,,
46,이연걸의 히트맨,Hitman / The Contract Killer,1998,"중국,홍콩","액션,코미디",조연,0.0,18426.0,7100000.0,5970.0
47,비상돌연,Expect The Unexpected,1998,홍콩,"범죄,드라마",주연,,,,
48,카지노,Casino,1998,홍콩,"드라마,범죄",주연,,,,
49,두호통집범,Life Will Never Be Twice,1996,홍콩,액션,주연,0.0,98.0,,
50,영앤데인저러스,Young & Dangerous 3,1996,홍콩,"액션,전쟁",주연,0.0,1.0,,
51,색겁정겁,All Of A Sudden,1996,홍콩,"멜로/로맨스,미스터리,범죄",주연,0.0,276.0,,
52,폭겁경정,Scarred Momory,1996,홍콩,드라마,주연,0.0,250.0,,
53,홍등가의 혈투,Street Angels,1996,홍콩,"액션,드라마",주연,0.0,533.0,,
54,강호대폭풍 2,To Be No. 1,1996,홍콩,액션,주연,,,,
55,고혹자 3 : 척수차천,Young and Dangerous 3,1996,홍콩,"액션,드라마",주연,,,,
56,무남 정미료,Gigolo & Whore 2,1995,홍콩,코미디,주연,0.0,147.0,,
57,자웅대도,Legendary Couple,1995,홍콩,액션,주연,0.0,921.0,,
58,용호살수,Dragon Killer,1995,홍콩,액션,주연,0.0,199.0,,
59,저격자,Heart Of The Killer,1995,홍콩,액션,주연,0.0,139.0,,
60,모험유희,Passion 1995,1995,홍콩,드라마,주연,0.0,132.0,,
61,첩혈쌍웅 2,Man Wanted,1995,홍콩,액션,주연,0.0,693.0,,
62,고양의생,Doctor Lamb,1995,홍콩,범죄,주연,,,,
63,귀파사,Ghostly Bus,1995,홍콩,액션,주연,,,,
64,폭풍의 눈,Typhoon Eye,1994,홍콩,"범죄,액션",주연,0.0,684.0,,
65,흑표천하,The Black Panther Warriors,1994,홍콩,액션,주연,0.0,6289.0,,
66,취생몽사,The Tiger of Waichai,1994,홍콩,액션,주연,,,,
67,적나고양 2,Naked Killer 2,1993,홍콩,"드라마,액션",주연,0.0,670.0,,
68,촉목경심,Insanity,1993,홍콩,드라마,주연,0.0,1028.0,,
69,현대 애정고사,Modern Love Story,1993,홍콩,드라마,주연,0.0,4394.0,,
70,이락부기안,The Incorruptible,1992,홍콩,"드라마,범죄,액션",주연,0.0,242.0,,
71,카멜레온,Naked Killer,1992,홍콩,"드라마,액션",주연,0.0,3633.0,,
72,저격자,Gun And Roses,1992,홍콩,스릴러,주연,0.0,1488.0,,
73,블랙 캣 2,Black Cat 2 / Hei Mao 2,1992,홍콩,액션,주연,0.0,0.0,,
74,블랙캣,Black Cat,1992,홍콩,"액션,범죄",주연,0.0,10618.0,,
75,협도고비,Full Contact,1992,홍콩,"드라마,액션",주연,0.0,92063.0,,
76,용등사해,Gun And Rose,1992,홍콩,"액션,드라마,범죄",주연,0.0,45934.0,,
77,동방노호,The Cyprus Tiger,1992,홍콩,"액션,범죄",주연,0.0,5110.0,,
78,지존특경,Hard To Kill,1992,홍콩,"액션,드라마,스릴러",주연,,,,
79,오룡체신,Mistaken Identity,1991,홍콩,"코미디,액션",주연,0.0,560.0,,
80,살수특경,The Plot,1990,홍콩,"액션,범죄",주연,0.0,265.0,,
81,의불용정,Deadly Deal,1990,홍콩,"액션,범죄",주연,0.0,8549.0,,
82,자탄출조,Bullet For Hire,1990,홍콩,액션,주연,0.0,20744.0,,
83,지존홍분,Queen's High,1990,홍콩,액션,주연,0.0,18409.0,,
84,자유인,Killer'S Romance,1990,홍콩,액션,주연,0.0,28778.0,,
85,황가 특공대,Live Hard,1989,홍콩,액션,주연,0.0,7074.0,,
86,여전사,Fatal Termination,1989,홍콩,액션,주연,0.0,10613.0,,
