,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이,,2018,일본,애니메이션,주연-다크라이 한국어 목소리역(목소리),1388620900,182550,1394555400,183421
1,마야2,Maya the Bee: The Honey Games,2017,독일,애니메이션,조연-베드포드역(목소리),695357700,96992,695357700,96992
2,래빗 스쿨,Rabbit School : Guardians of the golden egg,2017,독일,"애니메이션,가족",주연-프릿츠 목소리역(목소리),401768900,55784,401768900,55784
3,빅풋 주니어,The Son of Bigfoot,2017,"벨기에,프랑스","애니메이션,어드벤처,가족",주연(목소리),2260352900,320545,2260352900,320545
4,꼬마참새 리차드: 아프리카 원정대,Richard the Stork,2017,"독일,벨기에,룩셈부르크,노르웨이",애니메이션,조연-알렉스 목소리 역(목소리),599076600,81136,599076600,81136
5,부니베어: 나무 도둑의 습격,Boonie Bears : Robo Rumble,2015,중국,애니메이션,주연-티키역(목소리),129228400,19267,129228400,19267
6,부니베어: 로거빅 컴백홈 프로젝트,Boonie Bears : Homeward Journey,2015,중국,애니메이션,주연-티키 목소리역(목소리),177914300,25903,177955300,25908
7,부니베어: 브램블의 신비한 모험,Boonie Bears : A Mystical Winter,2015,중국,애니메이션,주연-티키 목소리역(목소리),63195500,9544,63195500,9544
8,부니 베어: 롤라 구출 대모험,Boonie Bears: To the Rescue,2014,중국,"애니메이션,어드벤처",주연(목소리),309876900,45250,310331900,45341
9,유고와 라라: 하늘고래와 구름섬 대모험,Yugo & Lala,2012,중국,애니메이션,주연-호랑이역(목소리),291706400,40374,291706400,40374
10,쿵후팬더: 영웅의 탄생,The Adventures of Jinbao,2012,중국,애니메이션,주연-마왕역(목소리),466173000,74250,466173000,74250
