,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,얼라이드,Allied,2017,미국,"스릴러,드라마,멜로/로맨스",조연,4290805179.0,520448.0,4290805179.0,520448.0
1,라스트 페이스,THE LAST FACE,2016,미국,드라마,주연,,,,
2,폴터가이스트,Poltergeist,2015,"미국,캐나다","공포(호러),스릴러",주연-캐리건 버크 역역,,,,
3,콰이어트 원,The Quiet Ones,2014,"영국,미국",공포(호러),주연,75213500.0,9736.0,75213500.0,9736.0
4,폼페이: 최후의 날,Pompeii,2014,"미국,독일","액션,어드벤처,드라마",조연,10303127700.0,1373873.0,10303127700.0,1373873.0
5,파가니니: 악마의 바이올리니스트,Paganini: The Devil’s Violinist,2013,"독일,이탈리아","드라마,뮤지컬",주연,270820700.0,36808.0,270820700.0,36808.0
6,더 워드,The Ward,2010,미국,"공포(호러),스릴러",주연,,,1000000.0,200.0
7,이웃집 개 죽이는 법,How To Kill Your Neighbor's Dog,2000,"독일,미국","코미디,드라마",조연,,,,
8,서양경,Shadow Magic,1999,"중국,독일,대만,미국","드라마,멜로/로맨스",주연,,,,
9,일요일,Sunday,1997,미국,"드라마,멜로/로맨스",주연-레이역,,,,
10,올리버 스톤의 킬러,Natural Born Killer,1994,미국,액션,주연,0.0,57913.0,,
