,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,여자의 일생,Une Vie,2016,프랑스,멜로/로맨스,주연,28578100.0,4089.0,28768300.0,4119.0
1,파리 폴리,Paris Follies,2014,프랑스,드라마,주연,85132500.0,11060.0,85132500.0,11060.0
2,붉은 빛,Red Lights,2004,프랑스,"범죄,미스터리",주연,,,,
3,남자들의 마음,Frenchmen,2002,프랑스,코미디,주연,,,,
4,마리 조,Marie-Jo And Her 2 Lovers,2002,프랑스,코미디,주연,,,,
5,아! 내가 부자라면,If I Were A Rich Man,2002,프랑스,코미디,주연,,,,
6,조용한 마을,The TownIs Quiet,2000,프랑스,드라마,주연,,,,
7,인생이란 무엇인가?,What's Life?,1999,프랑스,드라마,주연,,,,
8,문어,Le Poulpe,1998,프랑스,"코미디,범죄,스릴러",주연,,,,
9,차가운 물,Cold Water,1994,프랑스,드라마,주연,,,1513000.0,219.0
