,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,협상,,2018,한국,"범죄,스릴러",조연,,,,
1,덕구,Stand by Me,2017,한국,드라마,조연,2375330700.0,313344.0,2378021700.0,313883.0
2,신과함께-죄와 벌,Along with the Gods: The Two Worlds,2017,한국,"판타지,드라마",조연,115699634137.0,14410931.0,115706188137.0,14411525.0
3,곰탱이(가제),,2017,한국,드라마,주연,,,,
4,트롤,Trolls,2016,미국,애니메이션,조연-패피 왕 한국어 목소리 역역(목소리),5011161500.0,675966.0,5011161500.0,675966.0
5,터닝메카드W: 블랙미러의 부활,Turning Mecards W: Resurrection of the Black Mirror,2016,한국,애니메이션,주연-메가 목소리역(목소리),3213263000.0,429569.0,3215588500.0,429933.0
6,나쁜놈은 죽는다 무삭제 특별판,,2015,"중국,한국","코미디,범죄,액션",주연,3000.0,1.0,3000.0,1.0
7,나쁜놈은 죽는다,Bad Guys Always Die,2015,"중국,한국","코미디,액션",주연,117273700.0,14942.0,117324700.0,14950.0
8,돌연변이,Collective Invention,2015,한국,"드라마,코미디",조연-박구 아버지역,748936684.0,100543.0,748936684.0,100543.0
9,치외법권,Untouchable Lawmen,2015,한국,액션,조연-강성기역,2664941005.0,346483.0,2664941005.0,346483.0
10,간신,The Treacherous,2015,한국,사극,조연-영의정역,8946842910.0,1110246.0,8947046910.0,1110274.0
11,허삼관,Chronicle of a Blood Merchant,2014,한국,드라마,조연-최가역,7405415569.0,955175.0,7410215569.0,956103.0
12,제보자,The Whistleblower,2014,한국,드라마,단역-방송국 사장역,13515762802.0,1755181.0,13515762802.0,1755181.0
13,"메밀꽃, 운수 좋은 날, 그리고 봄봄",The Road Called Life,2014,한국,애니메이션,주연-운수 좋은 날 - 김첨지 목소리역(목소리),221122200.0,33905.0,227359195.0,35567.0
14,소수의견,The Unfair,2013,한국,드라마,조연-김희택 부역,2891431205.0,383332.0,2892681205.0,383582.0
15,찌라시: 위험한 소문,Tabloid Truth,2013,한국,"범죄,드라마",단역-오앤씨회장역,9111648087.0,1221420.0,9111748087.0,1221427.0
16,수상한 그녀,Miss Granny,2013,한국,드라마,단역-사진사역,62696639249.0,8656397.0,62715946849.0,8659725.0
17,플랜맨,The Plan Man,2013,한국,드라마,조연-구상윤역,4547866558.0,635740.0,4547866558.0,635740.0
18,집으로 가는 길,Way Back Home,2013,한국,드라마,단역-주불 대사역,13048519745.0,1854625.0,13049026745.0,1854711.0
19,결혼전야,Marriage Blue,2013,한국,"멜로/로맨스,코미디",단역-이라부역,8444337719.0,1214836.0,8444355719.0,1214839.0
20,아유레디?,Are You Ready?,2013,한국,다큐멘터리,주연-나레이션역(목소리),87050500.0,12767.0,87360500.0,12817.0
21,은밀하게 위대하게,Secretly Greatly,2013,한국,"액션,코미디,드라마",조연-고영감 역,48700887413.0,6959083.0,48700887413.0,6959083.0
22,피노키오: 당나귀 섬의 비밀,pinocchio,2013,"이탈리아,멕시코,벨기에,프랑스,룩셈부르크","애니메이션,코미디,드라마",주연(목소리),430554000.0,68711.0,430594000.0,68721.0
23,신세계,New World,2012,한국,"범죄,액션",조연-양이사역,34881330905.0,4682492.0,34882073905.0,4682614.0
24,눈의 여왕,The Snow Queen,2012,러시아,애니메이션,주연-허당 임금님 외 다수역(목소리),1846221000.0,276913.0,1848244000.0,277260.0
25,26년,26 Years,2012,한국,"액션,드라마",주연-그 사람역,21241327145.0,2963449.0,21242367145.0,2963652.0
26,음치 클리닉,Love Clinique,2012,한국,"멜로/로맨스,코미디",조연-공사장역,2248238000.0,338168.0,2248238000.0,338168.0
27,내가 살인범이다,Confession of Murder,2012,한국,"액션,스릴러",조연-국장역,20392346000.0,2729808.0,20392518000.0,2729827.0
28,"광해, 왕이 된 남자",Masquerade,2012,한국,"사극,드라마",주연-조내관역,88900208769.0,12319542.0,88909386769.0,12323595.0
29,도가니,Silenced,2011,한국,드라마,조연-교장 형제역,35566854800.0,4662822.0,35567476000.0,4662926.0
30,마루 밑 아리에티,The Borrowers,2010,일본,애니메이션,주연-포드 역(목소리),7773942884.0,1083746.0,7655193500.0,1068004.0
31,슈렉 포에버,Shrek Forever After,2010,미국,"애니메이션,코미디,가족",주연-슈렉 (한국어 목소리)역(목소리),23178925617.0,2261356.0,22810989100.0,2224118.0
32,오디션,Audition,2008,한국,애니메이션,주연-송 회장 목소리 역(목소리),,,8561000.0,1579.0
33,드래곤 헌터,Dragon Hunters,2007,"프랑스,독일","애니메이션,어드벤처",주연-리안츄역(목소리),219090000.0,34984.0,219090000.0,34984.0
34,휘파람공주,The Hidden Princess,2002,한국,코미디,조연-북한 간부/단장 역,,9042.0,,
35,별주부 해로,Turtle Hero,2001,한국,"애니메이션,어드벤처,가족",조연-칼로마역,0.0,7580.0,,
36,붉은 매,The Red Falcon,1995,한국,애니메이션,주연-묵풍 목소리역(목소리),0.0,12312.0,,
37,장군의 아들 3,The General's Son 3,1992,한국,"액션,드라마",주연-김두한 목소리역(목소리),0.0,162600.0,0.0,0.0
38,장군의 아들 2,The Generla's Son 2,1991,한국,"드라마,액션",주연-김두한 목소리역(목소리),0.0,357697.0,1394000.0,754.0
39,외계에서 온 우뢰매 전격 쓰리 작전,Blitz Of Wuroi-mae From Outer Space,1987,한국,"SF,가족",주연-성우역(목소리),0.0,46007.0,,
