,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,식구,The Soup,2018,한국,드라마,주연-애심역,,,30175400.0,3816.0
1,질투의 역사,,2018,한국,"멜로/로맨스,드라마",조연-진숙역,,,,
2,질투의 역사,,2018,한국,"멜로/로맨스,드라마",조연-진숙역,,,,
3,사월의 끝,The End of April,2016,한국,"미스터리,스릴러",주연,3389900.0,519.0,3389900.0,519.0
4,곡성,THE WAILING,2016,한국,"미스터리,스릴러,드라마",조연-부인역,55863520382.0,6879908.0,55864308382.0,6879989.0
5,약장수,Clown of a Salesman,2015,한국,드라마,조연-미란역,313238400.0,43562.0,314552400.0,44216.0
6,베테랑,Veteran,2014,한국,"액션,드라마",단역-배기사부인역,105168155250.0,13414009.0,105169264250.0,13414200.0
7,나의 독재자,My Dictator,2014,한국,드라마,단역-요양원 간호사역,2906692546.0,385934.0,2907311546.0,386072.0
8,고양이,Cat,2013,한국,드라마,주연-지웅모역,,,,
9,가족시네마,Modern Family,2012,한국,드라마,조연-아름역,19453000.0,2639.0,19453000.0,2639.0
10,화이팅 패밀리,,2012,한국,"가족,드라마",주연-seg. 인 굿 컴퍼니역,7323500.0,1199.0,7323500.0,1199.0
11,인 굿 컴퍼니,In Good Company,2012,한국,드라마,주연,,,,
12,도가니,Silenced,2011,한국,드라마,단역-수화통역사역,35566854800.0,4662822.0,35567476000.0,4662926.0
13,헤드,Head,2011,한국,"액션,스릴러",단역-백정 아내역,462025000.0,61414.0,462025000.0,61414.0
14,체포왕,Officer of the Year,2011,한국,"코미디,액션",단역-YTN 기자 역,6413325500.0,870887.0,6413325500.0,870887.0
15,황해,The Yellow Sea,2010,"한국,미국,중국","스릴러,액션,범죄",단역-도문 호텔 직원역,16765970362.0,2167426.0,17497165500.0,2260512.0
16,달빛을 쫓다,In Pursuit of the Moonlight,2010,한국,기타,주연,,,,
17,19-Nineteen,19,2009,한국,드라마,단역-유은혜역,212293874.0,32986.0,209955500.0,32616.0
18,지구에서 사는 법,How To Live On Earth,2009,한국,"드라마,멜로/로맨스,미스터리",주연-세아 역,3347259.0,502.0,3375500.0,509.0
19,김씨표류기,Castaway on the Moon,2008,한국,"코미디,드라마",단역-김씨 애인역,4796220849.0,733931.0,4736776000.0,725031.0
20,멋진 하루,My Dear Enemy,2008,한국,"드라마,멜로/로맨스",조연-은정역,2554838451.0,390741.0,2586823171.0,397387.0
21,크로싱,Crossing,2008,"한국,중국,몽고",드라마,단역-탈북녀 3역,5657365667.0,907255.0,5651660500.0,898000.0
22,내안의 영화,,2008,한국,드라마,주연,,,,
23,리서치,Re-Search,2008,,,주연,,,,
24,궤도,Life Track,2007,한국,드라마,주연-향숙역,2264500.0,375.0,2284500.0,379.0
25,바르게 살자,Going By The Book,2007,한국,"코미디,드라마",단역-기자 2역,0.0,2190250.0,13944930000.0,2135606.0
26,못말리는 결혼,Unstoppable Marriage,2007,한국,코미디,단역-통역사역,0.0,1304431.0,7712339500.0,1188326.0
27,내부순환선,Inner Circle Line,2006,한국,"드라마,멜로/로맨스",주연,2216500.0,342.0,2402500.0,369.0
28,Mr.로빈 꼬시기,Seducing Mr. Perfect,2006,한국,"멜로/로맨스,코미디",단역-여직원역,0.0,730443.0,3990360200.0,680241.0
29,국경의 남쪽,Over the Border,2006,한국,드라마,단역-하나원 동료 1역,0.0,252457.0,1431751800.0,227304.0
30,달려라 장미,"Way To Go, Rose",2005,한국,"멜로/로맨스,드라마,코미디",조연-꽃순이역,0.0,881.0,5488000.0,860.0
31,사랑니,Blossom Again,2005,한국,멜로/로맨스,단역-응급실 간호사역,0.0,165538.0,868902000.0,135702.0
32,박수칠 때 떠나라,"Murder, Take One",2005,한국,"드라마,코미디,미스터리",단역-참고인역,0.0,2475291.0,13181626500.0,2073641.0
33,레드 아이,Red Eye,2005,한국,공포(호러),조연-주미역,0.0,242842.0,1313457500.0,210793.0
34,슈퍼스타 감사용,Mr. Gam’s Victory,2004,한국,드라마,단역-호봉 처역,0.0,834706.0,4073017000.0,627199.0
35,욕망,Desire,2002,한국,드라마,조연-소연역,0.0,1150.0,983000.0,145.0
36,고양이를 부탁해,Take Care Of My Cat,2001,한국,드라마,단역-uncredited역,0.0,24182.0,923000.0,156.0
37,노소강호,The Young And Old Wanderers,1988,중국,액션,주연,0.0,21319.0,,
