,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,미쓰백,,2018,한국,드라마,조연,,,,
1,협상,,2018,한국,"범죄,스릴러",조연,,,,
2,나와 봄날의 약속,I Have a Date with Spring,2017,한국,"미스터리,판타지",주연,15009700.0,1999.0,22032500.0,2929.0
3,바람 바람 바람,What a Man Wants,2017,한국,코미디,조연,9784445375.0,1194239.0,9784385375.0,1194229.0
4,임금님의 사건수첩,The King's Case Note,2016,한국,"코미디,어드벤처,액션",조연-수빈역,12648793723.0,1634403.0,12651193723.0,1635003.0
5,공조,Confidential Assignment,2016,한국,액션,주연,63781731326.0,7817446.0,63783051326.0,7817618.0
6,희생부활자,RV: Resurrected Victims,2015,한국,"미스터리,스릴러",주연,2515479835.0,323628.0,2515479835.0,323628.0
7,눈길,Snowy Road,2015,한국,드라마,조연-종분 모역,974237100.0,130172.0,975962100.0,130493.0
8,해어화,"LOVE, LIES",2015,한국,"사극,드라마",조연,3768200759.0,485695.0,3768200759.0,485695.0
9,나를 잊지 말아요,Remember You,2015,한국,멜로/로맨스,조연-김영희역,3409535000.0,427197.0,3409535000.0,427197.0
10,극비수사,The Classified File,2014,한국,"드라마,범죄",조연-은주 고모역,22389535897.0,2860786.0,22389535897.0,2860786.0
11,국제시장,Ode to My Father,2014,한국,드라마,조연-덕수모역,110913469630.0,14257115.0,110937282730.0,14262766.0
12,그댄 나의 뱀파이어,You Are My Vampire,2014,한국,"드라마,멜로/로맨스,코미디",단역-남걸 엄마역,22393000.0,3048.0,22393000.0,3048.0
13,친구 2,Friend : The Great Legacy,2013,한국,액션,조연-혜지역,21804687513.0,2971475.0,21804687513.0,2971475.0
14,공정사회,Azooma,2012,한국,"드라마,스릴러",주연-그녀역,97516000.0,14482.0,97703000.0,14537.0
15,늑대소년-확장판,A Werewolf Boy-Director's Cut,2012,한국,"멜로/로맨스,드라마,판타지",조연-엄마역,2868302500.0,414083.0,2869918500.0,414285.0
16,늑대소년,A Werewolf Boy,2012,한국,"멜로/로맨스,드라마,판타지",조연-엄마역,46593107500.0,6654837.0,46594814400.0,6655068.0
17,이웃사람,The Neighbors,2012,한국,스릴러,주연-하태선역,18087442369.0,2434099.0,18089332369.0,2434435.0
18,Mr.아이돌,Mr. Idol,2011,한국,드라마,조연-이미리역,515508500.0,74261.0,515508500.0,74261.0
19,통증,Pain,2011,한국,"멜로/로맨스,드라마",조연-계정역,5246996000.0,700272.0,5246996000.0,700272.0
20,푸른소금,Hindsight,2011,"한국,필리핀","액션,드라마,멜로/로맨스",조연-요리학원 선생님역,5739824500.0,771699.0,5739824500.0,771699.0
21,헬로우 고스트,Hello Ghost,2010,한국,"코미디,드라마",주연-울보 귀신역,21154651779.0,2897477.0,22057866500.0,3019960.0
22,김종욱 찾기,Finding Mr. Destiny,2010,"한국,인도","멜로/로맨스,드라마",단역-기준 누나역,8271660983.0,1130638.0,8209024000.0,1122225.0
23,퀴즈왕,The Quiz Show Scandal,2010,한국,코미디,주연-장팔녀역,4258992759.0,583183.0,4188846000.0,573001.0
24,하모니,Harmony,2009,한국,드라마,주연-방과장역,21992266198.0,3068544.0,21641865000.0,3018154.0
25,굿모닝 프레지던트,Good Morning President,2009,한국,"코미디,드라마",조연-지욱 참모 2역,18770889320.0,2583294.0,18567863300.0,2554960.0
26,애자,Goodbye Mom,2009,한국,"드라마,코미디",조연-편집장역,13785879439.0,1922634.0,13633902000.0,1901731.0
27,불신지옥,Possessed,2009,한국,"미스터리,공포(호러)",조연-수경역,1818156353.0,251314.0,1795789500.0,248291.0
28,7급 공무원,My Girlfriend Is an Agent,2008,한국,"코미디,액션,드라마,범죄",조연-홍 팀장역,26701311856.0,4088799.0,26380710000.0,4039891.0
29,헨젤과 그레텔,Hansel and Gretel,2007,한국,"드라마,판타지",조연-수정역,216613000.0,312459.0,1970260500.0,311539.0
30,아들,My Son,2007,한국,"드라마,가족",단역-교정 간부역,0.0,488221.0,2886902500.0,452209.0
31,거룩한 계보,Righteous Ties,2006,한국,"드라마,액션",조연-여일역,0.0,1744677.0,8759204600.0,1433696.0
32,연애,Love Is A Crazy Thing,2005,한국,드라마,조연-주인집 여자 은주역,0.0,18383.0,109587000.0,16665.0
33,박수칠 때 떠나라,"Murder, Take One",2005,한국,"드라마,코미디,미스터리",조연-여검사 유진주역,0.0,2475291.0,13181626500.0,2073641.0
34,아는 여자,Someone Special,2004,한국,드라마,조연-사고녀역,0.0,838000.0,4686976500.0,736452.0
