,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,검객,,2017,한국,"사극,액션",조연-군주역,,,,
1,펭귄-위대한 모험 2,L'empereur,2016,프랑스,다큐멘터리,주연(목소리),22038300.0,2813.0,22038300.0,2813.0
2,커튼콜,Curtain Call,2016,한국,코미디,주연,40638100.0,5526.0,40638100.0,5526.0
3,성난 변호사,The Advocate : A Missing Body,2015,한국,"범죄,액션",조연,8723650039.0,1128288.0,8723650039.0,1128288.0
4,사랑이 이긴다,Love Never Fails,2014,한국,"가족,드라마",주연,116662900.0,15328.0,116671900.0,15331.0
5,쎄시봉,C'est Si Bon,2014,한국,"멜로/로맨스,코미디,드라마",주연,13570381911.0,1714803.0,13571515911.0,1715370.0
6,화이: 괴물을 삼킨 아이,Hwayi: A Monster Boy,2013,한국,"액션,스릴러",주연,17695516795.0,2394466.0,17695683795.0,2394487.0
7,진통제,Painkiller,2011,한국,"드라마,기타,가족",주연(목소리),,,571250.0,447.0
8,시간의 춤,Dance Of Time,2009,한국,다큐멘터리,주연-편지 읽는 남자 역(목소리),46679461.0,6514.0,46281000.0,6459.0
9,"나의 친구, 그의 아내",My Friend & His Wife,2008,한국,"드라마,스릴러",주연,23780830.0,3586.0,24788200.0,3736.0
10,연애,Love Is A Crazy Thing,2005,한국,드라마,주연,0.0,18383.0,109587000.0,16665.0
11,마법사(들),Magician(s),2005,한국,드라마,주연,,,,
12,깃,Git-Feathers in the Wind,2004,한국,"드라마,멜로/로맨스",주연,0.0,2836.0,18208500.0,3060.0
13,거미숲,Spider Forest,2004,한국,"미스터리,범죄",조연,0.0,83411.0,412120500.0,63278.0
14,비디오를 보는 남자,Rewind,2003,한국,드라마,주연,0.0,300.0,,
15,라이터를 켜라,Break Out,2002,한국,코미디,단역-광팔역,,470557.0,,
16,서바이벌 게임,Survival Game,2002,한국,드라마,주연,,,,
17,나비,Nabi-The Butterfly,2001,한국,SF,주연-K역,0.0,4878.0,,
18,비수기,Seasonless,2000,한국,드라마,주연-P 역,,,,
