,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,창궐,,2018,한국,"사극,액션",조연,,,,
1,대장 김창수,MAN OF WILL,2017,한국,드라마,주연-마상구 역,2879121115.0,381483.0,2879121115.0,381483.0
2,보통사람,ORDINARY PERSON,2017,한국,드라마,조연,2956397623.0,383336.0,2956397623.0,383336.0
3,검객,,2017,한국,"사극,액션",주연-민승호역,,,,
4,"그래, 가족",My Little Brother,2016,한국,코미디,주연,350293300.0,46623.0,350293300.0,46623.0
5,아수라,Asura : The City of Madness,2016,한국,"범죄,액션",조연-도창학역,20576226662.0,2594028.0,20579716662.0,2594420.0
6,내부자들: 디 오리지널,Inside Men: The Original,2015,한국,"범죄,드라마",조연-부장 검사역,16973885275.0,2083999.0,16979714975.0,2084868.0
7,대호,The Tiger,2015,한국,사극,조연-구경역,13489904632.0,1762742.0,13489904632.0,1762742.0
8,내부자들,Inside Men,2015,한국,"범죄,드라마",조연-부장 검사역,56598130057.0,7072021.0,56599221057.0,7072507.0
9,간신,The Treacherous,2015,한국,사극,단역-자객역,8946842910.0,1110246.0,8947046910.0,1110274.0
10,베테랑,Veteran,2014,한국,"액션,드라마",조연-전 소장역,105168155250.0,13414009.0,105169264250.0,13414200.0
11,헬머니,Granny's Got Talent,2014,한국,코미디,주연-승현역,4120166972.0,522929.0,4122996972.0,523871.0
12,허삼관,Chronicle of a Blood Merchant,2014,한국,드라마,조연-심씨역,7405415569.0,955175.0,7410215569.0,956103.0
13,군도: 민란의 시대,KUNDO : Age of the Rampant,2013,한국,"사극,액션",주연-양 집사역,36987755999.0,4774895.0,36990394499.0,4775811.0
14,끝까지 간다,A Hard Day,2013,한국,"액션,스릴러,범죄",조연-최 형사역,27007303900.0,3450305.0,27007303900.0,3450305.0
15,남자가 사랑할 때,Man In Love,2013,한국,"멜로/로맨스,드라마",조연-두철역,14510222300.0,1979311.0,14515828300.0,1980050.0
16,사선의 끝,The Threshold of Death,2013,한국,드라마,주연,,,,
17,7번방의 선물,Miracle in Cell No.7,2012,한국,"코미디,드라마",주연-봉식역,91431914670.0,12811206.0,91433282670.0,12811435.0
18,간첩,The Spies,2012,한국,"드라마,코미디,액션",조연-한 팀장역,9316548500.0,1310895.0,9316548500.0,1310895.0
19,은교,Eungyo,2012,한국,멜로/로맨스,조연-박 사장역,9917728000.0,1346274.0,9919681444.0,1346511.0
20,시체가 돌아왔다,Over My Dead Body,2012,한국,"범죄,드라마",조연-스티브 정역,7360631000.0,986923.0,7360631000.0,986923.0
21,여기자의 하루,ROUTINE,2012,한국,드라마,주연-본부장역,,,,
22,특수본,S.I.U.,2011,한국,"액션,범죄",조연-준석역,8096052500.0,1118258.0,8096052500.0,1118258.0
23,카운트다운,Countdown,2011,한국,"드라마,액션",조연-한 실장역,3630557000.0,471547.0,3630557000.0,471547.0
24,가문의 영광4 - 가문의 수난,Unstoppable Family,2011,한국,코미디,조연-이세키역,17792219500.0,2368267.0,17792219500.0,2368267.0
25,모비딕,Moby Dick,2011,한국,"스릴러,드라마",조연-남선수역,3264596000.0,430936.0,3264596000.0,430936.0
26,수상한 고객들,Suspicious Customers,2011,한국,"코미디,드라마",단역-경찰서 형사역,7953428000.0,1059350.0,7953428000.0,1059350.0
27,황해,The Yellow Sea,2010,"한국,미국,중국","스릴러,액션,범죄",조연-형사 1역,16765970362.0,2167426.0,17497165500.0,2260512.0
28,우리 만난 적 있나요,Try to Remember,2010,한국,"멜로/로맨스,판타지",주연-박장군역,14997797.0,1974.0,14763500.0,1943.0
29,부당거래,The Unjust,2010,한국,"범죄,드라마",조연-공 수사관역,21326977937.0,2766436.0,20996584500.0,2723028.0
30,심야의 F.M.,Midnight F.M.,2010,한국,"스릴러,범죄","조연-라디오 PD, 오정무 역",9328562568.0,1228673.0,9179188500.0,1208310.0
31,원 나잇 스탠드,One Night Stand,2009,한국,드라마,주연-Episode 2 - 남편 역,11379871.0,1689.0,14586800.0,2124.0
32,파주,Paju,2009,한국,"드라마,멜로/로맨스",단역-철거민4역,978601985.0,132657.0,969645600.0,131498.0
33,똥파리,Breathless,2008,한국,드라마,"조연-사채업자, 만식 역",844521819.0,123046.0,844206700.0,123029.0
34,영화는 영화다,Rough Cut,2008,한국,"액션,드라마,범죄",단역-형사역,8943849000.0,1307688.0,8967441000.0,1311118.0
35,극락도 살인사건,Paradise Murdered,2007,한국,"공포(호러),미스터리,스릴러",조연-조 기사역,0.0,2259511.0,13328932000.0,2079989.0
36,수,Soo,2007,"한국,일본",액션,조연-고참 간부 B역,0.0,218314.0,1208282000.0,199709.0
37,예의없는 것들,No Mercy For The Rude,2006,한국,"액션,코미디",단역-머리 빵구난 깍두기 역,0.0,904802.0,4886772800.0,782907.0
38,살결,Texture Of Skin,2005,한국,드라마,단역-빽치기역,0.0,840.0,5522500.0,813.0
39,오로라 공주,Princess Aurora,2005,한국,"범죄,스릴러",단역-최 형사역,0.0,946372.0,5365343000.0,830538.0
40,잠복근무,She's on Duty,2005,한국,"코미디,액션",단역-망치역,0.0,1914941.0,9590663500.0,1533225.0
41,총 냄새,Smells Like a Gun,2001,한국,드라마,주연-남자역,,,,
