,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,두 개의 사랑,L'amant double,2017,프랑스,스릴러,주연,91501200.0,11592.0,91703400.0,11623.0
1,성 프란치스코,L'ami - Francois d'Assise et ses freres,2016,프랑스,드라마,주연,32885200.0,4823.0,32885200.0,4823.0
2,이터너티,Eternite,2016,프랑스,멜로/로맨스,주연,34559100.0,4647.0,34559100.0,4647.0
3,끌로끌로,My Way,2012,"프랑스,벨기에",드라마,주연,8913000.0,1218.0,9217000.0,1258.0
4,로나의 침묵,Lorna'S Silence,2008,"벨기에,프랑스,이탈리아,독일",드라마,주연-클로디역,27789191.0,4026.0,30127000.0,4431.0
5,여름의 조각들,Summer Hours,2008,프랑스,"드라마,가족",주연-제레미역,35600396.0,5288.0,35796500.0,5345.0
6,더 차일드,The Child,2005,벨기에,드라마,주연-브루노역,0.0,5748.0,37412500.0,5380.0
7,말할 수 없는 사랑,A Love To Hide,2005,프랑스,드라마,주연,,,,
8,가혹한 임무,"Work Hard, Play Hard",2003,"프랑스,벨기에","코미디,드라마",주연,,,,
9,크리미널 러버,Criminal Lovers,1999,프랑스,"범죄,드라마",주연,,,,
10,약속,La Promesse,1996,"벨기에,프랑스,룩셈부르크",드라마,주연,,,1786000.0,274.0
