,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,레드 스패로,RED SPARROW,2018,미국,스릴러,주연,860743700.0,108344.0,860743700.0,108344.0
1,저스티스 리그,Justice League,2017,미국,"액션,어드벤처,판타지,SF",조연-알프레드 페니워스역,14629692795.0,1786386.0,14629692795.0,1786386.0
2,시크릿 레터,Correspondence,2016,이탈리아,"드라마,멜로/로맨스",주연,46532500.0,6056.0,46532500.0,6056.0
3,어쌔신 크리드,Assassin's Creed,2016,"미국,영국,프랑스","액션,어드벤처,판타지,SF",주연,2899784921.0,355913.0,2899784921.0,355913.0
4,레이스,Race,2016,캐나다,드라마,주연,28867900.0,3849.0,28867900.0,3849.0
5,배트맨 대 슈퍼맨: 저스티스의 시작,Batman v Superman: Dawn of Justice,2016,미국,"액션,어드벤처,판타지",주연,18906246428.0,2256913.0,18906246428.0,2256913.0
6,무한대를 본 남자,The Man Who Knew Infinity,2015,영국,드라마,주연,255953754.0,33314.0,255969154.0,33316.0
7,하이-라이즈,High-Rise,2015,영국,스릴러,주연,192162100.0,24600.0,192162100.0,24600.0
8,리스본행 야간열차,Night Train to Lisbon,2013,"독일,스위스,포르투갈","미스터리,멜로/로맨스,스릴러",주연,587486536.0,76047.0,603847836.0,78611.0
9,뷰티풀 크리처스,Beautiful Creatures,2013,미국,"스릴러,액션,판타지,멜로/로맨스",주연,582030544.0,82995.0,582030544.0,82995.0
10,더 스토리: 세상에 숨겨진 사랑,The Words,2012,미국,"드라마,스릴러,멜로/로맨스",주연-올드 맨 역,267561500.0,36849.0,268881500.0,37025.0
11,"마진 콜: 24시간, 조작된 진실",Margin Call,2011,미국,"스릴러,드라마",주연-존 털드역,50342500.0,7019.0,50779500.0,7086.0
12,인랜드 엠파이어,Inland Empire,2006,폴란드,"미스터리,스릴러",주연-감독 역,0.0,5204.0,36764000.0,5371.0
13,킹덤 오브 헤븐,Kingdom Of Heaven,2005,미국,액션,주연,0.0,1484000.0,7815893000.0,1237269.0
14,빙 줄리아,Being Julia,2004,헝가리,드라마,주연,0.0,2538.0,17623500.0,2871.0
15,베니스의 상인,The Merchant Of Venice,2004,이탈리아,드라마,주연,0.0,169852.0,800461000.0,132228.0
16,칼라스 포에버,Callas Forever,2002,이탈리아,드라마,주연-래리 켈리역,98471.0,3862.0,26551500.0,3919.0
17,레이디스 앤 젠틀맨,And Now... Ladies And Gentlemen,2002,프랑스,멜로/로맨스,주연,,,,
18,포스 엔젤,The fourth angel,2001,미국,"스릴러,액션",주연,0.0,1564.0,,
19,요정나라 대모험,Faeries,1999,영국,"애니메이션,어드벤처",주연(목소리),,,,
20,아이언 마스크,The Man In The Iron Mask,1998,"미국,영국","드라마,액션,어드벤처",주연-아라미스역,0.0,151451.0,,
21,차이니즈박스,Chinese Box,1997,미국,드라마,주연,0.0,32662.0,,
22,로리타,Lolita,1996,미국,"드라마,멜로/로맨스",주연,0.0,17430.0,967000.0,173.0
23,다이 하드 3,Die Hard With A Vengeance,1995,미국,액션,주연,0.0,979666.0,,
24,M 버터 플라이,M.Butterfly,1993,미국,드라마,주연,0.0,35541.0,655000.0,141.0
25,하우스 오브 스피리트,The House Of The Spirits,1993,독일,드라마,주연,0.0,104236.0,,
26,데미지,Damage,1992,"영국,프랑스","드라마,멜로/로맨스",주연,,,20652000.0,3018.0
27,데미지,Damage,1992,프랑스,드라마,주연,0.0,225948.0,,
28,나의 청춘 워터랜드,Water Land,1992,미국,드라마,주연,0.0,3330.0,,
29,카프카,Kafka,1991,미국,드라마,주연,0.0,891.0,,
30,미션,The Mission,1986,영국,드라마,주연,0.0,525630.0,135263248.0,36144.0
31,스완의 사랑,Swann in Love,1984,"프랑스,폴란드",드라마,주연-샤를레스 스완 역역,,,,
