,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,더 드롭,The Drop,2014,미국,"범죄,드라마",주연,,,,
1,이너프 세드,Enough Said,2013,미국,"코미디,멜로/로맨스",주연-알버트 역역,,,,
2,킬링 소프틀리,Killing Them Softly,2012,미국,"액션,스릴러,범죄",주연,45341047.0,6539.0,45341047.0,6539.0
3,바이올렛 앤 데이지,Violet & Daisy,2011,미국,"액션,스릴러",주연,270000.0,54.0,270000.0,54.0
4,웰컴 투 마이 하트,Welcome To The Rileys,2010,"영국,미국",드라마,주연-더그 라일리역,47841500.0,6258.0,49507500.0,6589.0
5,로맨스 & 시가렛,Romance & Cigarettes,2005,미국,"코미디,뮤지컬,멜로/로맨스",주연,,,,
6,서바이빙 크리스마스,Surviving Christmas,2004,미국,코미디,주연,0.0,36875.0,174403000.0,27088.0
7,라스트 캐슬,The Last Castle,2001,미국,액션,주연,0.0,23948.0,,
8,소프라노스 시즌 2,The Sopranos Season 2,2000,미국,드라마,주연,,,,
9,8미리,8MM,1999,미국,"스릴러,드라마,미스터리",조연,0.0,129475.0,,
10,소프라노스,The Sopranos,1999,미국,"범죄,드라마",주연,,,,
11,더 홀,She's so lovely,1997,"미국,프랑스","코미디,멜로/로맨스",주연,,,,
