,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,더 굿 네이버,The Good Neighbor,2016,미국,스릴러,주연,,,,
1,아웃사이더,The Outsider,2013,미국,"액션,범죄",주연,18555000.0,3711.0,18555000.0,3711.0
2,디태치먼트,Detachment,2012,미국,드라마,주연-미스터 시볼트역,96249900.0,12733.0,96267900.0,12736.0
3,스몰 아파트,Small Apartments,2012,미국,"코미디,범죄",주연-미스터 올스파이스 역역,,,,
4,헨리스 크라임,HENRY'S CRIME,2010,미국,"범죄,드라마,멜로/로맨스,스릴러",주연-맥스 샐츠먼역,41616000.0,5663.0,41616000.0,5663.0
5,하늘에서 음식이 내린다면,Cloudy With A Chance Of Meatballs,2009,미국,"애니메이션,가족",주연-팀 록우드 목소리 역(목소리),5500218152.0,665096.0,5417904500.0,655078.0
6,엘프,Elf,2004,미국,코미디,주연-월터역,0.0,85614.0,344242500.0,57377.0
7,시티 오브 고스트,City Of Ghosts,2002,미국,"범죄,스릴러",주연,,,,
8,레드락 탈출,Warden Of Red Rock,2001,미국,서부극(웨스턴),주연,,,,
9,인 더 섀도우,In The Shadows,2001,미국,스릴러,주연,,,,
10,특명 네이비 씰,A Glimpse Of Hell,2001,"캐나다,미국",드라마,주연,,,,
11,럭키타운,Luckytown,2000,미국,"드라마,범죄,미스터리,스릴러",주연,,,,
12,미키 블루 아이즈,Mickey Blue Eyes,1999,미국,"코미디,멜로/로맨스,범죄",주연,0.0,31386.0,,
13,이레이저,Eraser,1996,미국,"액션,스릴러,드라마",주연,0.0,516721.0,,
14,타슌가,Tashunga,1995,"프랑스,이탈리아,영국",서부극(웨스턴),주연,0.0,2605.0,,
15,프로그램,The Program,1993,미국,액션,주연,0.0,7405.0,,
16,허니문 인 베가스,Honeymoon In Vegas,1993,미국,"멜로/로맨스,코미디",주연,0.0,12651.0,,
17,악몽,Flesh And Bone,1993,미국,"드라마,미스터리",주연,,,,
18,미저리,Misery,1990,미국,"스릴러,공포(호러),드라마",주연-폴 쉘던역,0.0,99753.0,300000.0,100.0
19,멀고 먼 다리,A Bridge Too Far,1977,영국,"드라마,액션,전쟁",주연-SSgt. 에디 도헌역,0.0,180203.0,228000.0,76.0
20,죽음의 경기,Rollerball,1975,미국,"액션,SF",주연,,,,
21,후리비의 대난전,Freebie and the Bean,1974,미국,"드라마,코미디,범죄",주연,0.0,75391.0,,
22,겜블러,The Gambler,1974,미국,드라마,주연,,,,
23,카운트다운,Countdown,1968,미국,"SF,스릴러",주연,,,,
24,엘도라도,El Dorado,1967,미국,서부극(웨스턴),주연,,,134000.0,52.0
