,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,런던 하이스트,Gunned Down,2017,영국,액션,주연,,,,
1,더 벙커: 프로젝트 12,Project12: The Bunker,2016,스페인,"액션,어드벤처",주연,,,,
2,사이코메트리,MONOCHROME,2016,영국,"범죄,스릴러",조연-로저역,300000.0,60.0,300000.0,60.0
3,벤허,Ben-Hur,2016,미국,"어드벤처,드라마",조연,11410860395.0,1400301.0,11411820395.0,1400397.0
4,브레이크다운,Breakdown,2016,영국,액션,주연,300000.0,60.0,300000.0,60.0
5,엘리미네이터,Eliminators,2015,"영국,미국",액션,주연,4000.0,1.0,4000.0,1.0
6,엑소시스트: 죽음의 가족,Estranged,2015,영국,스릴러,주연,,,,
7,런던잡,Get Lucky,2013,영국,"액션,범죄",주연,10000.0,2.0,10000.0,2.0
8,시타델,Citadel,2012,아일랜드,"드라마,공포(호러),스릴러",주연-프리스트역,,,,
9,브레이브 하트,Brave Heart,1995,미국,"드라마,액션,전쟁,사극",주연,0.0,500798.0,11472000.0,5721.0
