,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,"헤일, 시저!","Hail, Caesar!",2016,미국,"코미디,드라마",주연,271122300.0,34295.0,271444300.0,34331.0
1,트루 스토리,True Story,2015,미국,"미스터리,스릴러",주연,,,,
2,22 점프 스트리트,22 Jump Street,2014,미국,"액션,코미디,범죄",주연,,,,
3,더 울프 오브 월스트리트,THE WOLF OF WALL STREET,2013,미국,"범죄,드라마",주연,4490682000.0,585082.0,4494965500.0,585976.0
4,디스 이즈 디 엔드,This Is the End,2013,미국,"액션,코미디",주연-요나 힐 역역,,,,
5,21 점프 스트리트,21 Jump Street,2012,미국,"액션,코미디",주연-슈미트역,,,,
6,왓치,The Watch,2012,미국,"코미디,SF",주연-프랭클린 역,,,,
7,머니볼,Moneyball,2011,미국,드라마,주연-피터 브랜드 역,4677562000.0,641099.0,4678696000.0,641323.0
8,더 시터,The Sitter,2011,미국,코미디,주연-노아 역역,,,,
9,사이러스,Cyrus,2010,미국,"코미디,멜로/로맨스",주연-사이러스역,,,,
10,컴 백 록스타,Get Him To The Greek,2010,미국,코미디,주연-아론 그린버그 역역,,,,
11,그곳에선 아무도 거짓말을 하지 않는다,The Invention of Lying,2009,미국,"코미디,멜로/로맨스",주연-프랭크 역역,,,,
12,수퍼배드,Superbad,2007,미국,코미디,주연,,,,
13,10 아이템 오어 레스,10 Items Or Less,2006,미국,"코미디,드라마",주연,8207000.0,1676.0,8207000.0,1676.0
14,짝퉁 대학생,Accepted,2006,미국,코미디,주연-셔만 역,,,,
