,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,사도,The Throne,2014,한국,사극,조연-이천보역,48842902501.0,6246849.0,48846045501.0,6247651.0
1,집으로 가는 길,Way Back Home,2013,한국,드라마,조연-남주사역,13048519745.0,1854625.0,13049026745.0,1854711.0
2,멜로,Melo,2012,한국,드라마,조연-조형사역,2664500.0,385.0,2664500.0,385.0
3,가비,Gabi,2012,한국,"드라마,멜로/로맨스,미스터리",조연-민영환역,1969360500.0,270602.0,1969360500.0,270602.0
4,영건 탐정사무소,Young Gun in the Time,2011,한국,"SF,액션",조연-김박사역,7177000.0,957.0,7177000.0,957.0
5,소와 함께 여행하는 법,Rolling Home With A Bull,2010,한국,드라마,조연-동자승 부 역,107018251.0,16356.0,105338000.0,16096.0
6,하얀 나비,White Butterfly,2009,한국,드라마,단역-박 상무역,,,864000.0,168.0
7,리턴,Wide Awake,2007,한국,"미스터리,스릴러",단역-방사선과의역,0.0,677939.0,4271881500.0,641852.0
8,황진이,Hwang Jin Yi,2007,한국,"드라마,멜로/로맨스",조연-벽계수역,0.0,1270644.0,7764369000.0,1191810.0
9,최강로맨스,The Perfect Couple,2007,한국,"멜로/로맨스,코미디",단역-운동권 남학생역,0.0,1299274.0,6931136500.0,1190703.0
10,구세주,Oh! My God,2006,한국,"코미디,액션,멜로/로맨스",단역-최 검사역,0.0,1858668.0,10087308700.0,1621131.0
11,야수,Running Wild,2005,한국,액션,단역-서울지검 수사관역,0.0,1016152.0,5339725500.0,837011.0
12,오버 더 레인보우,Over The Rainbow,2002,한국,"드라마,멜로/로맨스",단역-사진남역,,240110.0,90000.0,15.0
13,베사메무쵸,Besa Me Mucho,2001,한국,드라마,단역-식품매장 청년역,0.0,245455.0,,
14,하면 된다,Just Do It,2000,한국,"범죄,코미디",단역-형사역,0.0,126368.0,,
15,시월애,Il Mare,2000,한국,"멜로/로맨스,판타지",조연-재혁역,0.0,248597.0,3226000.0,639.0
16,텔미썸딩,Tell Me Something,1999,한국,"스릴러,미스터리",단역-대학 동창 1역,0.0,1230000.0,,
17,쉬리,Swiri,1999,한국,"액션,드라마,멜로/로맨스,미스터리",단역-검색 요원역,0.0,5820000.0,,
18,그렇게 김순임은 강두식을 만났다,Sunflower Blues,1999,한국,드라마,주연-최 형사역,,,,
