,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,오리엔트 특급 살인,Murder on the Orient Express,2017,미국,"드라마,미스터리,범죄",주연,6645385163.0,864757.0,6645385163.0,864757.0
1,빅토리아 & 압둘,Victoria and Abdul,2017,미국,드라마,주연,73487278.0,10366.0,73487278.0,10366.0
2,미스 페레그린과 이상한 아이들의 집,Miss Peregrine's Home For Peculiar Children,2016,"미국,벨기에,영국","미스터리,판타지",주연,21841214586.0,2718158.0,21841214586.0,2718158.0
3,에시오 트롯: 거북아 거북아,Esio Trot,2015,영국,"드라마,멜로/로맨스",주연,,,,
4,필로미나의 기적,Philomena,2013,"영국,미국,프랑스",드라마,주연,276378600.0,38053.0,276378600.0,38053.0
5,007 스카이폴,SKYFALL,2011,"미국,영국",액션,주연,17487213000.0,2376145.0,17487818000.0,2376266.0
6,베스트 엑조틱 메리골드 호텔,The Best Exotic Marigold Hotel,2011,영국,"코미디,드라마",주연,401298500.0,56584.0,401298500.0,56584.0
7,친구 요청 중,Friend Request Pending,2011,영국,드라마,주연,,,88625.0,143.0
8,스캔들 노트,Notes On A Scandal,2006,영국,"드라마,스릴러",주연,,,,
9,미세스 헨더슨 프리젠츠,Mrs. Henderson Presents,2005,"영국,미국","코미디,드라마",주연,,,,
10,라벤더의 연인들,Ladies In Lavender,2004,영국,"드라마,미스터리,멜로/로맨스",주연-우슐라 역,49912500.0,7414.0,52670500.0,7850.0
11,카우 삼총사,Home On The Range,2004,미국,애니메이션,주연,0.0,14396.0,34027500.0,5592.0
12,아이리스,Iris,2001,"미국,영국",드라마,주연,0.0,7061.0,,
13,초콜릿,CHOCOLAT,2000,미국,멜로/로맨스,주연,0.0,45065.0,1588000.0,346.0
14,낯선 사람들의 품속으로,Into The Arms Of Strangers,2000,"미국,영국",다큐멘터리,주연(목소리),,,,
15,무솔리니와 차 한잔,Tea With Mussolini,1999,"이탈리아,영국","드라마,코미디,전쟁",주연,,,,
