,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,도성풍운 3,From Vegas To Macau III,2016.0,홍콩,"코미디,드라마",주연,67033500.0,12135.0,67033500.0,12135.0
1,코드네임 : 콜드워,Cold War 2,2016.0,홍콩,"범죄,액션",주연,11813500.0,1570.0,11813500.0,1570.0
2,도성풍운 2,The Man From Macao II,2015.0,홍콩,"액션,코미디",주연,191000.0,52.0,191000.0,52.0
3,화려상반족: 오피스,Office,2015.0,"홍콩,중국","범죄,드라마,코미디",주연-호회장 역역,,,,
4,몽키킹: 손오공의 탄생,The Monkey King,2013.0,중국,"판타지,액션,어드벤처",주연,15954600.0,2182.0,15954600.0,2182.0
5,주윤발의 도성풍운,From Vegas to Macau,2013.0,홍콩,"액션,코미디",주연,8890000.0,1556.0,8890000.0,1556.0
6,조조-황제의 반란 감독판,THE ASSASSINS,2012.0,중국,"전쟁,드라마",주연,215000.0,43.0,215000.0,43.0
7,조조-황제의 반란,The Assassins,2012.0,중국,사극,주연,535668500.0,75297.0,535708500.0,75301.0
8,공자 춘추전국시대 감독판,Confucius,2010.0,중국,"액션,드라마",주연,100000.0,10.0,100000.0,10.0
9,양자탄비,Let The Bullets Fly,2010.0,중국,"액션,코미디",주연,10231000.0,1454.0,10231000.0,1454.0
10,상하이,Shanghai,2010.0,미국,"드라마,미스터리,멜로/로맨스",주연,2039939000.0,269157.0,2039939000.0,269157.0
11,공자 춘추전국시대,Confucius,2009.0,중국,"드라마,액션,사극",주연,2819298799.0,377801.0,2774370000.0,371607.0
12,드래곤볼 에볼루션,Dragonball,2009.0,미국,"액션,어드벤처,SF,가족",주연-무천도사역,2695732696.0,425571.0,2655743500.0,419189.0
13,황시,The Children Of Huang Shi,2008.0,"호주,중국,독일","전쟁,드라마",주연,812706500.0,130275.0,820373000.0,131867.0
14,이모의 포스트모던 라이프,The Postmodern Life of My Aunt,2007.0,홍콩,"멜로/로맨스,코미디",주연,,,,
15,황후화,Curse Of The Golden Flower,2006.0,홍콩,"액션,드라마",주연,0.0,954387.0,5646349700.0,897678.0
16,방탄승,Bulletproof Monk,2003.0,미국,"액션,어드벤처",주연,0.0,246966.0,,
17,와호장룡,"Crouching Tiger, Hidden Dragon",2000.0,중국,"사극,액션",주연-리무바이역,0.0,237234.0,0.0,0.0
18,애나 앤드 킹,Anna And The King,1999.0,미국,"드라마,코미디,멜로/로맨스",주연,0.0,204138.0,315000.0,105.0
19,커럽터,The Corruptor,1998.0,미국,"범죄,드라마,액션",주연,0.0,18222.0,,
20,리플레이스먼트 킬러,The Replacement Killers,1997.0,미국,"범죄,스릴러,액션",주연,0.0,163915.0,,
21,화평본위,Peace Hotel,1994.0,홍콩,"드라마,액션",주연,0.0,27910.0,,
22,도신 2,The Return Of The God Of Gamblers,1994.0,홍콩,"액션,코미디",주연-고진역,0.0,112694.0,,
23,화기소림,The Treasure Hunt,1994.0,홍콩,"드라마,액션",주연,0.0,123139.0,,
24,협도고비,Full Contact,1992.0,홍콩,"드라마,액션",주연,0.0,92063.0,,
25,첩혈속집,Hard Bolided,1992.0,홍콩,"액션,범죄",주연,0.0,106891.0,,
26,주윤발의 사랑 이야기,Now You See Love... Now You Don't,1992.0,홍콩,"코미디,멜로/로맨스",주연,,,,
27,도범2,Prison On Fire 2,1991.0,홍콩,액션,주연,0.0,27976.0,65000.0,13.0
28,종횡사해,Once A Thief,1991.0,홍콩,"액션,범죄",주연,0.0,281555.0,2999000.0,430.0
29,주윤발의 미녀사냥,The Roman Sing Star,1990.0,홍콩,멜로/로맨스,"주연,음악",0.0,7544.0,,
30,흑사회,Triads The Inside Story,1989.0,홍콩,"드라마,범죄",주연,0.0,42112.0,,
31,주윤발의 행운의 별,"The Fun,The Luck & The Typoon",1989.0,홍콩,코미디,주연,0.0,23619.0,,
32,타이거맨,Tiger Man,1989.0,홍콩,액션,주연,0.0,41255.0,,
