,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,카스바,Rock the Kasbah,2017,미국,코미디,주연,,,,
1,트롤,Trolls,2016,미국,애니메이션,주연-브리짓 역역(목소리),5011161500.0,675966.0,5011161500.0,675966.0
2,아워 이디엇 브라더,Our Idiot Brother,2011,미국,"드라마,가족,코미디",주연,197192477.0,27010.0,197482977.0,27045.0
3,유어 하이니스,Your Highness,2011,미국,"어드벤처,코미디,판타지",주연-벨라도나 역,,,,
4,500일의 썸머,500Days Of Summer,2009,미국,"드라마,멜로/로맨스",주연-썸머역,1064051540.0,140458.0,2277004000.0,286828.0
5,예스맨,Yes Man,2008,미국,"코미디,드라마",주연,9346501843.0,1402609.0,9293599000.0,1395498.0
6,해프닝,The Happening,2008,미국,"SF,드라마,미스터리",주연,2366614500.0,348772.0,2375782500.0,347791.0
7,지갠틱,Gigantic,2008,미국,"코미디,멜로/로맨스",주연,,,,
8,굿 라이프,The Good Life,2007,"캐나다,미국","코미디,드라마",주연,,,,
9,더 고겟터,The Go-Getter,2007,미국,"코미디,드라마",주연,,,,
10,윈터 패싱,Winter Passing,2005,미국,드라마,주연,,,,
11,엘프,Elf,2004,미국,코미디,조연-조디역,0.0,85614.0,344242500.0,57377.0
12,유러지,Eulogy,2004,"미국,영국,독일","코미디,드라마",주연,,,,
13,올 더 리얼 걸스,All The Real Girls,2003,미국,"드라마,멜로/로맨스",주연,,,,
14,굿 걸,The Good Girl,2002,"미국,독일,네덜란드","드라마,멜로/로맨스",조연,,,,
15,매닉,Manic,2001,미국,드라마,주연,,,,
