,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,서버비콘,Suburbicon,2017,미국,"범죄,미스터리",주연,,,105927500.0,12676.0
1,원더스트럭,Wonderstruck,2017,미국,드라마,주연,229074500.0,26914.0,229117500.0,26921.0
2,킹스맨: 골든 서클,Kingsman: The Golden Circle,2017,"미국,영국","액션,어드벤처,코미디",주연,40987484736.0,4945484.0,40987484736.0,4945484.0
3,매기스 플랜,Maggie's Plan,2015,미국,"코미디,멜로/로맨스",주연,382361800.0,47668.0,382361800.0,47668.0
4,로렐,Laurel,2015,미국,"드라마,멜로/로맨스",주연,62368400.0,8289.0,64499400.0,8509.0
5,헝거게임: 더 파이널,The Hunger Games: Mockingjay - Part 2,2015,미국,"액션,어드벤처",주연,6070679163.0,806709.0,6070679163.0,806709.0
6,스틸 앨리스,Still Alice,2014,미국,드라마,주연,869953546.0,112711.0,871674546.0,112977.0
7,7번째 아들,Seventh Son,2014,"미국,영국,캐나다","어드벤처,가족,판타지",주연,729980451.0,92598.0,729980451.0,92598.0
8,맵 투 더 스타,Maps To The Stars,2014,"캐나다,미국,독일,프랑스","미스터리,스릴러",주연,50881800.0,6411.0,51660800.0,6525.0
9,헝거게임: 모킹제이,The Hunger Games: Mockingjay - Part 1,2014,미국,"어드벤처,SF,스릴러",주연,6400058044.0,854377.0,6400058044.0,854377.0
10,논스톱,Non-Stop,2013,"미국,프랑스",액션,주연,16066174940.0,2084457.0,16066549940.0,2084482.0
11,돈 존,Don Jon,2013,미국,"코미디,드라마,멜로/로맨스",주연,96323000.0,12044.0,96323000.0,12044.0
12,잉글리쉬 티처,The English Teacher,2013,미국,"코미디,드라마",주연,,,,
13,캐리,Carrie,2013,미국,"공포(호러),드라마",주연-마라겟 화이트 역역,,,,
14,메이지가 알고 있었던 일,What Maisie Knew,2012,미국,드라마,주연-수잔나역,14597500.0,2125.0,14597500.0,2125.0
15,에브리바디 올라잇,The Kids Are All Right,2010,미국,"코미디,드라마",주연-쥴스 역,466314324.0,61927.0,458656500.0,60898.0
16,클로이,Chloe,2010,프랑스,"드라마,스릴러",주연,989894071.0,129633.0,972575000.0,127082.0
17,셀터,Shelter,2010,미국,"공포(호러),미스터리",주연,,,,
18,싱글맨,A Single Man,2009,미국,"드라마,멜로/로맨스",주연-샬롯 역,133456217.0,17252.0,151060200.0,19443.0
19,눈먼자들의 도시,Blindness,2008,"캐나다,일본,브라질","드라마,멜로/로맨스,스릴러,미스터리",주연,4356692000.0,645218.0,4367170000.0,646826.0
20,세비지 그레이스,Savage Grace,2007,프랑스,드라마,주연-바바라 베이클랜드역,88603805.0,12288.0,89611000.0,12506.0
21,넥스트,Next,2007,미국,"SF,스릴러,액션",주연,0.0,486274.0,3097841500.0,468148.0
22,칠드런 오브 맨,Children Of Men,2006,"영국,미국","SF,액션,스릴러",주연,160639200.0,19548.0,165881200.0,20244.0
23,프리덤랜드,Freedomland,2006,미국,"스릴러,드라마,범죄",주연-브렌다 마틴역,0.0,503.0,3379500.0,483.0
24,트러스트 더 맨,Trust The Man,2005,미국,"코미디,드라마,멜로/로맨스",주연,,,,
25,프라이즈 위너,"The Prize Winner of Defiance, Ohio",2005,미국,드라마,주연,,,,
26,포가튼,The Forgotten,2004,미국,스릴러,주연,0.0,251024.0,1281609500.0,198010.0
27,사랑에 빠지는 아주 특별한 법칙,Laws Of Attraction,2004,아일랜드,멜로/로맨스,주연,0.0,82800.0,428449500.0,65383.0
28,파 프롬 헤븐,Far From Heaven,2003,프랑스,"드라마,멜로/로맨스",주연,0.0,49691.0,158000.0,34.0
29,디 아워스,The Hours,2002,미국,드라마,주연,0.0,141075.0,870000.0,167.0
30,쉬핑 뉴스,The Shipping News,2001,미국,드라마,주연-웨이비역,0.0,409.0,,
31,한니발,Hannibal,2001,미국,"공포(호러),범죄",주연,0.0,282997.0,,
32,세계 여행자,World Traveler,2001,"캐나다,미국",드라마,주연,,,,
33,매그놀리아,Magnolia,1999,미국,드라마,주연-린다 패트리지 역,0.0,80016.0,6732000.0,904.0
34,세계 지도,A Map Of The World,1999,"미국,독일",드라마,주연,,,,
35,이상적인 남편,An Ideal Husband,1999,"영국,미국","코미디,멜로/로맨스",주연,,,,
36,쿠키의 행운,Cookie's Fortune,1999,미국,"코미디,드라마",주연,,,,
37,사랑의 슬픔 애수,The End Of The Affair,1998,미국,"멜로/로맨스,전쟁",주연-사라 마일즈 역,0.0,10438.0,1586000.0,448.0
38,쥬라기 공원 2 - 잃어버린 세계,The Lost World: Jurassic Park,1997,미국,"어드벤처,액션,스릴러,판타지",주연,0.0,1001279.0,,
39,어쌔신,Assasins,1995,미국,액션,주연,0.0,137407.0,,
40,나인 먼쓰,Nine Months,1995,미국,"멜로/로맨스,코미디",주연,0.0,89556.0,,
41,세이프,Safe,1995,미국,스릴러,주연,,,190000.0,39.0
42,룸메이트,Roommate,1994,미국,코미디,주연,0.0,25117.0,,
43,42번가의 반야,Vanya on 42nd Street,1994,"영국,미국","드라마,코미디,멜로/로맨스",주연-옐레나 역역,,,,
44,샤넬,Chanel Soltiaire,1981,미국,드라마,시나리오(각본),0.0,60257.0,,
