,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,당신과 함께한 순간들,Marjorie Prime,2017,미국,드라마,주연,41057300.0,5453.0,41288300.0,5486.0
1,스튜어트 리틀 3,Stuart Little 3: Call Of The Wild,2005,미국,"애니메이션,코미디,가족",주연(목소리),,,,
2,스튜어트 리틀 2,Stuart Little 2,2002,미국,"가족,어드벤처,코미디,판타지",주연,0.0,232622.0,,
3,스튜어트 리틀,Stuart Little,1999,"미국,독일","코미디,가족,애니메이션",주연-Mrs. 리틀역,0.0,392933.0,,
4,롱 키스 굿나잇,Long Kiss Good Night,1996,미국,"액션,드라마,스릴러",주연-사만다 케인/찰리 발티모어역,0.0,243467.0,,
5,스피치리스,Speechless,1995,미국,코미디,주연,0.0,1917.0,,
6,컷스로트 아일랜드,The Legend Of Cutthroat Island,1995,"미국,프랑스,이탈리아,독일",액션,주연,0.0,258920.0,39000.0,13.0
7,앤지,Angie I Says,1993,미국,드라마,주연,0.0,21450.0,,
8,리틀 빅 히어로,Accidental Hero,1993,미국,"드라마,코미디",주연,0.0,33021.0,,
9,델마와 루이스,Thelma and Louise,1991,미국,드라마,주연-델마역,0.0,119301.0,71247100.0,9185.0
10,그들만의 리그,A League Of Their Own,1991,미국,"드라마,코미디",주연,0.0,9981.0,,
11,플라이,The Fly,1986,미국,"공포(호러),SF",주연,,,,
