,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,흥부: 글로 세상을 바꾼 자,Heung-boo: The Revolutionist,2017,한국,사극,단역,3381302200,416346,3381050200,416303
1,원라인,ONE-LINE,2016,한국,범죄,주연-석구역,3316504433,434777,3319505433,435100
2,연평해전,Northern Limit Line,2015,한국,드라마,주연,45563228330,6043784,45567290830,6044956
3,쎄시봉,C'est Si Bon,2014,한국,"멜로/로맨스,코미디,드라마",주연,13570381911,1714803,13571515911,1715370
4,봄,Late Spring,2014,한국,"드라마,멜로/로맨스",단역-우정출연-순경역,111094100,14780,111094100,14780
5,표적,The Target,2014,한국,"액션,드라마",조연-성훈역,22256359300,2841788,22256769300,2841828
6,명량,Roaring Currents,2013,한국,"사극,액션",조연-임준영 역,135748398910,17613682,135754920310,17615314
7,26년,26 Years,2012,한국,"액션,드라마",주연-곽진배역,21241327145,2963449,21242367145,2963652
8,모비딕,Moby Dick,2011,한국,"스릴러,드라마",주연,3264596000,430936,3264596000,430936
9,혈투,The Showdown,2010,한국,"액션,사극",주연,329280000,43947,329280000,43947
10,식객2 : 김치전쟁,Le Grand Chef 2: Kimchi Battle,2009,한국,드라마,주연-성찬역,3298814209,471103,3243969500,462714
11,마더,Mother,2009,한국,드라마,주연-진태역,20195373838,3013523,19971510600,2979805
12,초감각 커플,The ESP Couple,2008,한국,"멜로/로맨스,미스터리",주연-수민역,24646130,3733,24641500,3732
13,트럭,The Truck,2007,한국,"범죄,스릴러",주연,3668218000,540485,3730899000,550195
14,기담,Epitaph,2007,한국,"공포(호러),미스터리,스릴러",주연,0,678546,4124465500,644090
15,사랑 따윈 필요 없어,Love Me Not,2006,한국,"멜로/로맨스,드라마",조연-태호역,0,548998,2564487300,425358
16,비열한 거리,A Dirty Carnival,2006,한국,"액션,범죄,드라마",조연-종수역,0,2047808,11664597600,1829887
17,달콤한 인생,A Bittersweet Life,2004,한국,액션,주연-민기역,0,1271595,7235539100,1112950
