,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,굿펠라스: 옹알스와 이방인(가제),Good Fellas: Ongals and the stranger(가제),2018,한국,"코미디,다큐멘터리","감독,주연",,,,
1,50,50,2017,한국,"드라마,판타지",감독,,,,
2,서울 서칭,Seoul Searching,2015,"미국,한국","코미디,드라마",주연,,,400000.0,70.0
3,마이 보이,My Boy,2013,한국,"가족,드라마",주연,22384800.0,3338.0,23762800.0,3523.0
4,감기,Flu,2013,한국,"드라마,어드벤처,액션",조연-대통령역,21784202000.0,3119023.0,21774884000.0,3117859.0
5,타워,The Tower,2012,한국,드라마,주연-조사장역,37654858000.0,5181014.0,37654858000.0,5181014.0
6,다트,Dart,2010,한국,애니메이션,주연,,,3734.0,16.0
7,돌멩이의 꿈,A Dream Comes True,2009,한국,드라마,주연,3612168.0,521.0,3572500.0,515.0
8,크로싱,Crossing,2008,"한국,중국,몽고",드라마,주연,5657365667.0,907255.0,5651660500.0,898000.0
9,한반도,Hanbando,2006,한국,"드라마,액션",주연,0.0,3880308.0,20597497600.0,3331593.0
10,목포는 항구다,"Mokpo, Gangster’s Paradise",2003,한국,"드라마,코미디",주연,0.0,1795700.0,2673832500.0,425725.0
11,보리울의 여름,Season In The Sun,2003,한국,"드라마,코미디",주연,0.0,86000.0,,
12,아이언 팜,Iron Palm,2002,한국,코미디,주연,,28196.0,,
13,닥터 K,Dr.K,1998,한국,"드라마,미스터리",주연-강지민역,0.0,30843.0,,
14,짱,The Best,1998,한국,"드라마,액션",주연,0.0,51247.0,,
15,알바트로스,Albatross,1996,한국,"전쟁,액션,사극,드라마",주연,0.0,9714.0,,
