,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,반드시 잡는다,The Chase,2017,한국,스릴러,조연-나정혁역,3326439772.0,446780,3326439772.0,446780.0
1,루시드 드림,Lucid Dream,2016,한국,"SF,스릴러",조연-조명철역,759481000.0,102170,759481000.0,102170.0
2,퇴마: 무녀굴,The Chosen: Forbidden Cave,2015,한국,"공포(호러),스릴러",주연,951843500.0,120802,951843500.0,120802.0
3,간신,The Treacherous,2015,한국,사극,주연,8946842910.0,1110246,8947046910.0,1110274.0
4,베테랑,Veteran,2014,한국,"액션,드라마",조연-광역수사대 총경역,105168155250.0,13414009,105169264250.0,13414200.0
5,배꼽,Horny Family,2012,한국,"가족,코미디",주연,300000.0,50,300000.0,50.0
6,이웃사람,The Neighbors,2012,한국,스릴러,주연,18087442369.0,2434099,18089332369.0,2434435.0
7,백프로,Mr. Perfect,2011,한국,"코미디,드라마",조연,284106600.0,37909,284106600.0,37909.0
8,부당거래,The Unjust,2010,한국,"범죄,드라마",주연-강국장역,21326977937.0,2766436,20996584500.0,2723028.0
9,악마를 보았다,I Saw The Devil,2010,한국,스릴러,조연,14148937025.0,1848418,13919462500.0,1817069.0
10,죽이고 싶은,Enemy At The Dead End,2009,한국,스릴러,주연-김민호역,990122522.0,133079,973594000.0,130784.0
11,불꽃처럼 나비처럼,The Sword With No Name,2009,한국,"멜로/로맨스,사극",주연-대원군 역,12447633504.0,1690294,12302961500.0,1670652.0
12,GP 506,The Guard Post,2007,한국,"공포(호러),미스터리,스릴러",주연,6316842000.0,945185,6316842000.0,936945.0
13,좋지 아니한가,Skeletons In The Closet,2007,한국,"드라마,코미디",주연-아빠 심창수역,0.0,321654,1849140000.0,306470.0
14,삼거리극장,Midnight Ballad For Ghost Theater,2006,한국,"뮤지컬,코미디,공포(호러)","주연-우기남 사장역,기타-보컬",0.0,17216,98439400.0,16063.0
15,비열한 거리,A Dirty Carnival,2006,한국,"액션,범죄,드라마",주연-황 회장역,0.0,2047808,11664597600.0,1829887.0
16,혈의 누,Blood Rain,2004,한국,스릴러,단역-강 객주역,0.0,2274995,12367924506.0,1926681.0
17,주먹이 운다(Crying Fist),Crying Fist,2004,한국,드라마,단역-상철역,0.0,1728477,9322812000.0,1462972.0
18,인형사,The Doll Master,2004,한국,공포(호러),조연,0.0,339038,1324401000.0,214709.0
19,범죄의 재구성,The Big Swindle,2004,한국,스릴러,조연,0.0,2129358,6133498700.0,942303.0
20,말죽거리 잔혹사,Spirit Of Jeet Keun Do - Once Upon A Time In High School,2003,한국,"액션,멜로/로맨스",단역-현수 부역,0.0,3115767,3837152000.0,604969.0
21,2009로스트메모리즈,2009 Lost Memories,2002,한국,"SF,액션,드라마",주연,,856150,,
22,자유여자,Free Woman,1990,한국,멜로/로맨스,주연,0.0,488,,
23,쫄병수첩,Journal of a Soldier,1989,한국,드라마,주연,0.0,42412,,
24,며느리 밥풀꽃에 대한 보고서,The Report Of The Daughter-In-Law's Rice Flower,1989,한국,"드라마,멜로/로맨스",주연,0.0,12618,,
25,지금은 양지,Sunshine At Present,1988,한국,드라마,주연,0.0,7121,,
26,이장호의 외인구단 2,Lee Jang-Ho And Alien Baseball Team 2,1988,한국,드라마,주연-마동탁역,0.0,40827,,
27,돌쇠바람,,1987,한국,"드라마,액션",주연,0.0,2849,,
28,청(블루스케치),Chung (Blue Sketch),1986,한국,"드라마,멜로/로맨스",주연,0.0,39273,,
