,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,개를 훔치는 완벽한 방법,How To Steal A Dog,2014,한국,"드라마,가족",주연,2327822465.0,306119.0,2330217965.0,306642.0
1,최민수의 어쌔씬 코드,Assassins’ Code,2009,미국,액션,주연,4730000.0,5320.0,4730000.0,5320.0
2,홀리데이,Holiday,2006,한국,"드라마,스릴러,범죄",주연-안석 역,0.0,1458896.0,7885116000.0,1257399.0
3,청풍명월(淸風明月),Sword In The Moon,2003,한국,액션,주연-지환역,0.0,536258.0,,
4,서울,Seoul,2002,일본,액션,주연,0.0,12565.0,,
5,리베라메,Libera Me,2000,한국,"드라마,미스터리,범죄,액션",주연-조상우역,0.0,533560.0,,
6,주노명 베이커리,"Chu Noh-Myoung Bakery, The Wife In Romanc",2000,한국,"멜로/로맨스,코미디",주연-주노명역,0.0,42620.0,,
7,유령,Phantom The Submarine,1999,한국,"액션,드라마",주연-202역,0.0,347965.0,1556000.0,518.0
8,남자이야기,Story of a Man,1998,한국,"드라마,액션",주연,0.0,11997.0,,
9,블랙잭,Blackjack,1997,한국,"미스터리,범죄,액션",주연,0.0,39065.0,0.0,0.0
10,인샬라,Inch'Alla,1996,한국,멜로/로맨스,주연,0.0,42012.0,,
11,피아노맨,Piano Man,1996,한국,"스릴러,액션,미스터리,드라마",주연,0.0,89744.0,,
12,나에게 오라,Come To Me,1996,한국,"액션,드라마",주연,0.0,51688.0,0.0,0.0
13,리허설,Rehearsal,1995,한국,성인물(에로),주연,0.0,160141.0,,
14,아찌 아빠,My Old Sweetheart,1995,한국,멜로/로맨스,주연,0.0,67777.0,,
15,테러리스트,The Terrorist,1995,한국,액션,주연-수현역,0.0,320919.0,,
16,사랑하기 좋은 날,A Good Day To Fall In Love,1995,한국,"멜로/로맨스,드라마","주연,투자",0.0,8955.0,,
17,블루 시걸,The Blueseagull,1994,한국,"범죄,애니메이션,액션",주연,0.0,202751.0,,
18,헐리우드 키드의 생애,Life Of Hollywood Kid,1994,한국,드라마,주연,0.0,37063.0,,
19,가슴달린 남자,The Man With Breasts,1993,한국,"드라마,멜로/로맨스",주연,0.0,128334.0,,
20,밀월여행,Honeymoon Trip,1993,한국,"드라마,멜로/로맨스",주연,0.0,0.0,,
21,바람부는 날이면 압구정동에 가야 한다,We Must Go To Apgujung-Dong On Windy Days,1992,한국,"멜로/로맨스,드라마",주연,0.0,24692.0,,
22,미스터 맘마,Mister Mama,1992,한국,"드라마,멜로/로맨스,코미디",주연,0.0,227294.0,,
23,결혼이야기,The Marriage Life,1992,한국,"드라마,멜로/로맨스,코미디",주연,0.0,526052.0,,
24,아그네스를 위하여,For Agnes,1991,한국,"드라마,멜로/로맨스",주연,0.0,126392.0,,
25,겨울꿈은 날지 않는다,The Winter Dream Does Not Fly,1990,한국,"멜로/로맨스,드라마",주연,0.0,1511.0,,
26,남부군,North Korean Partisan In South Korea,1990,한국,"드라마,사극,전쟁",주연-김영역,0.0,324169.0,943000.0,162.0
27,남자시장,Man Market,1990,한국,드라마,주연,0.0,11815.0,,
28,그녀와 마지막 춤을,The Last Dance With Her,1988,한국,멜로/로맨스,주연-오혜석역,0.0,13436.0,,
29,신의 아들,Son Of God,1986,한국,"드라마,액션",주연,0.0,33493.0,,
30,눈,Eyes,1985,한국,드라마,주연,,,,
