,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,아델라인 : 멈춰진 시간,The Age of Adaline,2015,미국,"판타지,멜로/로맨스",주연,310087419.0,40096.0,310087419.0,40096.0
1,블러바드,Boulevard,2014,미국,드라마,주연,86642300.0,11048.0,87223300.0,11126.0
2,제인 오스틴 북클럽,The Jane Austen Book Club,2007,미국,"드라마,멜로/로맨스",주연,,,,
3,나인 라이브즈,9 Lives,2005,미국,드라마,조연-카밀리역,0.0,2245.0,17172900.0,2574.0
4,프랭키와 자니 결혼하다,Frankie And Johnny Are Married,2004,미국,코미디,주연,,,,
5,어쌔신 탱고,Assassination Tango,2002,미국,"범죄,드라마,멜로/로맨스",주연,,,,
6,글래스하우스,THE GLASS HOUSE,2001,미국,"스릴러,액션",주연,0.0,1261.0,,
7,기적의 계절,A Season For Miracles,1999,미국,드라마,주연,,,,
8,러쉬 라이프,Lush Life,1993,미국,드라마,주연-재니스 올리버역,,,,
9,아버지의 황혼,Dad,1989,미국,"코미디,드라마",조연-애니역,,,,
