,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,베이비 드라이버,Baby Driver,2017,영국,"액션,범죄,스릴러",주연-박사역,6698892214.0,822656.0,6707502214.0,823624.0
1,엘비스와 대통령,Elvis & Nixon,2016,미국,코미디,주연,3660500.0,520.0,3695500.0,527.0
2,미스터 캣,Nine Lives,2016,"프랑스,중국",코미디,주연,181383750.0,23350.0,181383750.0,23350.0
3,영웅이 되고 싶은 남자,Inseparable,2013,"대만,미국","코미디,스릴러",주연,1039000.0,496.0,1039000.0,496.0
4,"마진 콜: 24시간, 조작된 진실",Margin Call,2011,미국,"스릴러,드라마",주연-샘 로저스역,50342500.0,7019.0,50779500.0,7086.0
5,스트레스를 부르는 그 이름 직장상사,Horrible Bosses,2011,미국,코미디,주연-데이브 역,404070500.0,51646.0,404070500.0,51646.0
6,카지노잭,Casino Jack,2010,캐나다,"액션,드라마,코미디,범죄",주연,,,,
7,초(민망한)능력자들,The Men Who Stare at Goats,2009,"미국,영국",코미디,주연-래리 후퍼 역,136718000.0,18210.0,136718000.0,18210.0
8,더 문,Moon,2009,영국,"SF,스릴러,드라마,미스터리",주연,103466465.0,14331.0,102856000.0,14281.0
9,슈링크,Shrink,2009,미국,드라마,주연,,,,
10,21,21,2008,미국,"범죄,드라마",주연,730776100.0,108648.0,731977600.0,108825.0
11,리카운트,Recount,2008,미국,드라마,주연,,,,
12,수퍼맨 리턴즈,Superman Returns,2006,미국,"SF,액션,판타지",주연-렉스 루더역,0.0,1764758.0,10825645300.0,1702765.0
13,에디슨 시티,Edison,2005,미국,액션,주연-월레스 형사역,0.0,136612.0,788697000.0,127638.0
14,비욘드 더 씨,Beyond The Sea,2004,"미국,영국,독일","드라마,뮤지컬","감독,주연-바비 다린 역",0.0,2040.0,13164700.0,2299.0
15,데이비드 게일,The Life Of David Gale,2003,미국,"드라마,범죄,스릴러",주연,0.0,54623.0,,
16,케이-펙스,K-PAX,2001,"미국,독일","판타지,드라마",주연,0.0,32204.0,452000.0,92.0
17,쉬핑 뉴스,The Shipping News,2001,미국,드라마,주연-쿼일역,0.0,409.0,,
18,아름다운 세상을 위하여,Pay It Forward,2000,미국,드라마,주연,0.0,77872.0,,
19,디센트 크리미널,Ordinary Decent Criminal,2000,"독일,아일랜드,영국,미국",범죄,주연,,,,
20,아메리칸 뷰티,American Beauty,1999,미국,드라마,주연-레스터 번햄역,0.0,391640.0,,
21,빅 카후나,The Big Kahuna,1999,미국,"드라마,코미디",주연,,,,
22,헐리벌리,Hurlyburly,1998,미국,"코미디,드라마",주연,0.0,336.0,,
23,벅스 라이프,A Bug's Life,1998,미국,"애니메이션,가족",주연-호퍼역(목소리),0.0,369032.0,3058000.0,417.0
24,네고시에이터,The Negotiator,1998,"미국,독일","드라마,범죄,스릴러,액션",주연,0.0,96894.0,57000.0,19.0
25,LA컨피덴셜,L.A Confidential,1997,미국,"드라마,미스터리,범죄,스릴러",주연-잭 빈센스 역,0.0,248287.0,,
26,알비노 앨리게이터,Albino Alligator,1996,미국,"스릴러,드라마,범죄",감독,0.0,102.0,,
27,유주얼 서스펙트,The Usual Suspects,1995,미국,"범죄,스릴러,미스터리",주연,0.0,193393.0,55135300.0,7133.0
28,아웃브레이크,Outbreak,1995,미국,드라마,주연,0.0,159844.0,,
29,벼랑 끝에 걸린 사나이,The Buddy Factor,1994,미국,코미디,주연,0.0,756.0,,
30,네 이웃의 아내를 탐하지마라,Consenting Adults,1993,미국,"드라마,스릴러",주연,0.0,29433.0,,
31,헨리 밀러의 북회귀선,Henry & June,1991,미국,드라마,주연-리차드 오스본역,0.0,72856.0,54000.0,18.0
