,영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
0,몬스터 호텔 3,Hotel Transylvania 3: A Monster Vacation,2018,미국,"애니메이션,코미디,가족,판타지",주연(목소리),,,5373547100.0,730866.0
1,몬스터 호텔 2,Hotel Transylvania 2,2015,미국,애니메이션,주연-프랑켄슈타인 목소리역(목소리),11088271276.0,1515104.0,11088271276.0,1515104.0
2,리틀 보이,Little Boy,2015,"미국,멕시코","드라마,전쟁",주연,100778300.0,14343.0,100778300.0,14343.0
3,픽셀,Pixels,2015,미국,"액션,어드벤처",주연,5390909947.0,681945.0,5390909947.0,681945.0
4,폴 블라트 : 몰 캅 2,Paul Blart: Mall Cop 2,2015,미국,"코미디,액션",주연-폴 블라트역,,,,
5,히어 컴스 더 붐,Here Comes the Boom,2012,미국,"코미디,액션",주연-스콧 역역,,,,
6,딜레마,The Dilemma,2011,미국,"드라마,코미디",주연-닉 브래넌 역역,,,,
7,로맨틱 정글,Zookeeper,2011,미국,"코미디,가족",주연-그리핀 키스 역역,,,,
8,그로운업스,Grown Ups,2010,미국,드라마,주연-에릭 라몬소프 역역,,,,
9,쇼핑몰 캅,Paul Blart: Mall Cop,2009,미국,"코미디,액션",주연,,,,
10,척 앤 래리,I Now Pronounce You Chuck And Larry,2007,미국,코미디,주연,0.0,66753.0,374965500.0,55875.0
11,신나는 동물농장(애니),Barnyard: The Original Party Animals,2006,미국,"애니메이션,코미디",주연,0.0,149086.0,744049500.0,137630.0
12,그릴드,Grilled,2006,미국,코미디,주연,,,,
